candidate_id,topology_id,rows,success_regression_count_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_gcst_00000,,7490,85,0.000281885359576,2042,2263,False,False,False,False,False
g557_gcst_00001,,7490,71,-0.00049552627696,1771,1734,False,False,False,False,False
g557_gcst_00002,,7490,55,0.00191965063481,1836,2695,False,False,False,False,False
g557_gcst_00003,,7490,55,0.00476753443008,1583,3162,False,False,False,False,False
g557_gcst_00004,,7490,71,0.00290524893444,1695,2879,False,False,False,False,False
g557_gcst_00005,,7490,52,0.028938343704,1983,3351,False,False,False,False,False
g557_gcst_00006,,7490,65,0.000132205108027,2307,2316,False,False,False,False,False
g557_gcst_00007,,7490,65,-0.00048586326146,1885,2396,False,False,False,False,False
g557_gcst_00008,,7490,62,0.00452662031698,2312,2520,False,False,False,False,False
g557_gcst_00009,,7490,81,0.0391487181761,1713,3647,False,False,False,False,False
g557_gcst_00010,,7490,47,0.00362815176996,1623,3074,False,False,False,False,False
g557_gcst_00011,,7490,49,-0.00108447488581,1611,1523,False,False,False,False,False
g557_gcst_00012,,7490,50,0.0063013221262,2469,2547,False,False,False,False,False
g557_gcst_00013,,7490,56,0.00552609812505,1594,3097,False,False,False,False,False
g557_gcst_00014,,7490,51,-0.00211143422621,2349,2124,False,False,False,False,False
g557_gcst_00015,,7490,62,0.0016189642359,1855,2682,False,False,False,False,False
g557_gcst_00016,,7490,48,-0.00146870484456,2608,1982,False,False,False,False,False
g557_gcst_00017,,7490,61,0.000469987961364,2060,2101,False,False,False,False,False
g557_gcst_00018,,7490,55,0.00528869074708,1750,2949,False,False,False,False,False
g557_gcst_00019,,7490,204,0.0649313017159,728,4447,False,False,False,False,False
g557_gcst_00020,,7490,57,0.00815544249914,1441,3588,False,False,False,False,False
g557_gcst_00021,,7490,54,-0.000542666530517,1781,1744,False,False,False,False,False
g557_gcst_00022,,7490,45,0.00114065585645,2165,2429,False,False,False,False,False
g557_gcst_00023,,7490,69,0.012812071373,2134,3058,False,False,False,False,False
g557_gcst_00024,,7490,57,0.0104578445772,2309,2688,False,False,False,False,False
g557_gcst_00025,,7490,45,0.00634419878694,1434,3609,False,False,False,False,False
g557_gcst_00026,,7490,55,0.00445420777711,2181,2599,False,False,False,False,False
g557_gcst_00027,,7490,50,-0.00283385794836,2033,2176,False,False,False,False,False
g557_gcst_00028,,7490,50,0.00125746802548,2037,2384,False,False,False,False,False
g557_gcst_00029,,7490,534,0.260621151015,401,4956,False,False,False,False,False
g557_gcst_00030,,7490,49,-0.000764390733786,2093,2227,False,False,False,False,False
g557_gcst_00031,,7490,48,0.000948066824756,1574,1545,False,False,False,False,False
g557_gcst_00032,,7490,62,0.00421490261408,1788,2798,False,False,False,False,False
