agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,repeat_index,scen,seed,success,sum_of_loss_ratio,worse_vs_ltm
50,lacam_star_ltm,1.10014170997,True,False,always_additive_defer,control,always_additive_defer,0.0,True,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.10014170997,False
50,lacam_star_ltm,1.10014170997,True,False,laur_disable,control,laur_disable,0.0,True,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.10014170997,False
50,lacam_star_ltm,1.10014170997,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.10014170997,False
50,lacam_star_ltm,1.10014170997,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.10014170997,False
50,lacam_star_ltm,1.10014170997,True,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0.025507794050000143,False,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.12564950402,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0.011336797350000039,False,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.11147850732,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.02409069438000011,False,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g2_best_frozen_static_candidate,frozen_static,repair5g2_best_frozen_static_candidate,0.02409069438000011,False,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g2_c_equiv_best_frozen_baseline,c_equiv_baseline,repair5g2_c_equiv_best_frozen_baseline,0.010392064240000165,False,maze-32-32-4,repair5g_dual_c_equiv_c100_b100_w075_d100,,0,maze-32-32-4-random-66.scen,66,True,1.11053377421,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g2_frozen_static_or_selector,frozen_selector,repair5g2_frozen_static_or_selector,0.02409069438000011,False,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g2_g1_top_diagnostic_candidate,flow_shield,repair5g2_g1_top_diagnostic_candidate,0.02409069438000011,False,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g2_random_candidate_diagnostic,synthetic,repair5g2_random_candidate_diagnostic,0.02409069438000011,False,maze-32-32-4,,repair5g_dual_c_equiv_c100_b100_w075_d095,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g2_shuffled_flow_shield_diagnostic,synthetic,repair5g2_shuffled_flow_shield_diagnostic,0.02409069438000011,False,maze-32-32-4,,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
50,lacam_star_ltm,1.10014170997,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.10014170997,False
50,lacam_star_ltm,1.10014170997,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.10014170997,False
50,lacam_star_ltm,1.10014170997,True,False,repair5g_dual_c_equiv_c100_b100_w075_d095,c_equiv_baseline,repair5g_dual_c_equiv_c100_b100_w075_d095,0.02409069438000011,False,maze-32-32-4,,,0,maze-32-32-4-random-66.scen,66,True,1.12423240435,True
