evaluation_uid,label_state,positive_rows,safe_rows,harmful_rows,censored_rows,softmin_tau,positive_softmin_floor,baseline_positive_softmin_loss,baseline_floor_corrected_positive_loss,baseline_wta_positive_loss,baseline_nearest_harmful_distance,requested_harmful_margin,adaptive_harmful_margin,nearest_positive_harmful_distance,adaptive_margin_feasible,conflicting_theta_pair_count,has_conflicting_near_duplicate,censored_rows_are_negative
006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,MIXED_FRONTIER,30,32,33,0,0.05,0.11498112146659412,0.12155827968027658,0.00657715821368246,0.041547294706106186,0.03020586632192135,0.12,0.02847086638212204,0.05694173276424408,True,0,False,False
0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,MIXED_FRONTIER,43,44,21,0,0.05,0.10074517797461331,0.10052417311655103,-0.00022100485806228476,0.01965135522186756,0.06216783449053764,0.12,0.026561249047517776,0.05312249809503555,True,0,False,False
0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,MIXED_FRONTIER,38,39,26,0,0.05,0.08837386941471394,0.0895771107310305,0.001203241316316564,0.03064984455704689,0.04648749902844429,0.12,0.029293593019247055,0.05858718603849411,True,0,False,False
0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,MIXED_FRONTIER,1,2,63,0,0.05,-0.0,0.19123664498329163,0.19123664498329163,0.19123664498329163,0.029610270634293556,0.12,0.05865366384387016,0.11730732768774033,True,0,False,False
00b3f456f77df0e1a35ae679fc5ee3616299ac4996db13f9b1b0e5bddd57b292,CENSORED_UNKNOWN,0,1,0,64,0.05,0.0,0.0,0.0,0.0,,0.12,0.12,,True,0,False,False
00c473d161a66342da243eed1da54c488835e7efecb0bd7c33f49e7a8240e62c,CENSORED_UNKNOWN,0,1,0,64,0.05,0.0,0.0,0.0,0.0,,0.12,0.12,,True,0,False,False
0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,MIXED_FRONTIER,34,36,29,0,0.05,0.09936481354558735,0.09735826285489482,-0.002006550690692527,0.032599058002233505,0.03784060850739479,0.12,0.02304074913263321,0.04608149826526642,True,0,False,False
01739cdeba8188a1cd12a891c8731c54bdcb345754ece202e6f31adba94625ff,CENSORED_UNKNOWN,0,1,0,64,0.05,0.0,0.0,0.0,0.0,,0.12,0.12,,True,0,False,False
017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,MIXED_FRONTIER,47,48,17,0,0.05,0.10447895673730384,0.10317196541114813,-0.001306991326155707,0.029610270634293556,0.044698476791381836,0.12,0.021770352497696877,0.04354070499539375,True,0,False,False
01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,MIXED_FRONTIER,5,6,59,0,0.05,0.07095620405972161,0.12354236953828686,0.05258616547856525,0.06433672457933426,0.030592428520321846,0.12,0.02662077359855175,0.0532415471971035,True,0,False,False
01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,MIXED_FRONTIER,12,13,52,0,0.05,0.07025955668143669,0.07891151395085609,0.008651957269419405,0.03128833323717117,0.01931232586503029,0.12,0.02112594060599804,0.04225188121199608,True,0,False,False
0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,MIXED_FRONTIER,12,15,50,0,0.05,0.08705476348933931,0.10873179064388948,0.021677027154550166,0.045939210802316666,0.03389947861433029,0.12,0.02615155465900898,0.05230310931801796,True,0,False,False
0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,MIXED_FRONTIER,21,22,43,0,0.05,0.0822939104738376,0.0849397002445344,0.0026457897706967937,0.030592428520321846,0.05517100170254707,0.12,0.022292485460639,0.044584970921278,True,0,False,False
02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,MIXED_FRONTIER,25,26,39,0,0.05,0.09963491792671175,0.10149331137990303,0.001858393453191276,0.024084972217679024,0.033506426960229874,0.12,0.024380823597311974,0.04876164719462395,True,0,False,False
030ebcdecfb69f65804c0b5bce6062ee5dba163a4c029ab4061083decca436f3,CENSORED_UNKNOWN,0,1,0,64,0.05,0.0,0.0,0.0,0.0,,0.12,0.12,,True,0,False,False
