horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,paired_rows,both_success_rows,static_flow_success_rate,additive_success_rate,success_gain_count_static_over_additive,success_regression_count_static_vs_additive,mean_ratio_static_flow,mean_ratio_additive,absolute_delta_static_minus_additive,relative_improvement_pct,median_delta,bootstrap_CI_95_low,bootstrap_CI_95_high,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
generated_theta_targeted_short2000_t050_i2,2000,0.5,2,1234,861,0.709886547812,0.704213938412,15,8,1.21147752167,1.29523188105,-0.0837543593853,6.46636024062,-0.08126293995,-0.0872484721336,-0.0803618739452,False,False,False,False,False
generated_theta_targeted_short2000_t100_i2,2000,1,2,1234,1147,0.961912479741,0.947325769854,40,22,1.22062473405,1.32661912061,-0.105994386566,7.98981296992,-0.10127137221,-0.109453268826,-0.102513899837,False,False,False,False,False
generated_theta_targeted_short5000_t050_i2,5000,0.5,2,1233,885,0.727493917275,0.720194647202,12,3,1.21264712732,1.29655860539,-0.0839114780677,6.47186156655,-0.08020565553,-0.0875999682158,-0.0806028176021,False,False,False,False,False
generated_theta_targeted_short5000_t100_i4,5000,1,4,833,803,0.99399759904,0.963985594238,25,0,1.22142432632,1.32782878878,-0.106404462459,8.0134173441,-0.10152671755,-0.109617662906,-0.10252902828,False,False,False,False,False
iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,543,348,0.65561694291,0.865561694291,8,122,1.14636993769,1.24398568608,-0.0976157483965,7.84701540237,-0.094548325785,-0.103015802483,-0.0929093037949,False,False,False,False,False
iteration_label_expansion_failure_short2000_t050_i2,2000,0.5,2,543,442,0.826887661142,0.918968692449,7,57,1.15077337163,1.24968141837,-0.0989080467404,7.91466091166,-0.097133747745,-0.102905518267,-0.0956822863198,False,False,False,False,False
iteration_label_expansion_failure_short2000_t100_i2,2000,1,2,543,470,0.885819521179,0.968692449355,11,56,1.14871106063,1.25151744621,-0.102806385582,8.21453874985,-0.09859864742,-0.106367305833,-0.0988155398836,False,False,False,False,False
c0_short2000_t050_i2,2000,0.5,2,523,211,0.409177820268,0.4034416826,3,0,1.19898457439,1.2743129186,-0.0753283442037,5.91129094828,-0.0698254364,-0.0817824463344,-0.0686266987988,False,False,False,False,False
c0_short5000_t050_i2,5000,0.5,2,522,243,0.467432950192,0.465517241379,1,0,1.20471848879,1.27994340478,-0.0752249159974,5.87720642249,-0.07011070111,-0.0820156859145,-0.0695306660004,False,False,False,False,False
iteration_label_expansion_short1000_t050_i2,1000,0.5,2,502,274,0.559760956175,0.743027888446,7,99,1.1542739624,1.24858477048,-0.0943108080786,7.55341650081,-0.09079768271,-0.0993687688709,-0.0891240120619,False,False,False,False,False
iteration_label_expansion_short2000_t050_i2,2000,0.5,2,501,330,0.668662674651,0.754491017964,5,48,1.14991854391,1.24554889214,-0.0956303482315,7.67776751547,-0.09284109552,-0.100048366812,-0.0902986151919,False,False,False,False,False
iteration_label_expansion_short2000_t100_i2,2000,1,2,500,435,0.882,0.97,6,50,1.17050287559,1.27888216198,-0.108379286383,8.47453265141,-0.10497981158,-0.113057912908,-0.104414752067,False,False,False,False,False
generated_theta_targeted_short5000_t100_i2,5000,1,2,400,385,0.9775,0.9625,6,0,1.23099818716,1.33800980514,-0.107011617981,7.99782016312,-0.10414657666,-0.112161682896,-0.101818642527,False,False,False,False,False
iter_cf_short2000_t050_i2,2000,0.5,2,200,195,0.99,0.975,3,0,1.2102392011,1.3187901241,-0.108550922998,8.23109917312,-0.10094339623,-0.117236224639,-0.100620472136,False,False,False,False,False
warehouse_short10000_t200_i8,10000,2,8,120,2,0.0166666666667,0.0166666666667,0,0,1.0914799281,1.13049931581,-0.03901938771,3.45151802963,-0.03901938771,-0.07827395886,0.00023518344,False,False,False,False,False
warehouse_short20000_t500_i12,20000,5,12,120,113,0.941666666667,0.941666666667,0,0,1.13448134267,1.17030704639,-0.0358257037238,3.06122259372,-0.03065910319,-0.0432517160117,-0.0282854494734,False,False,False,False,False
warehouse_short5000_t100_i4,5000,1,4,120,0,0,0,0,0,,,,,,,,False,False,False,False,False
iteration_label_expansion_zz_short5000_t050_i2,5000,0.5,2,72,65,0.916666666667,0.902777777778,1,0,1.15095773512,1.25120478913,-0.100247054014,8.01204206385,-0.09165978531,-0.11486416153,-0.0879567183825,False,False,False,False,False
iteration_label_expansion_zz_short5000_t100_i4,5000,1,4,71,70,1,0.985915492958,1,0,1.1514848539,1.25648534193,-0.105000488034,8.35668228877,-0.09324757108,-0.115741335779,-0.0951969388774,False,False,False,False,False
generated_theta_targeted_warehouse_short5000_t100_i4,5000,1,4,67,0,0,0,0,0,,,,,,,,False,False,False,False,False
iteration_label_expansion_short5000_t050_i2,5000,0.5,2,47,43,0.936170212766,0.914893617021,1,0,1.15550322282,1.24224099265,-0.0867377698247,6.98236254827,-0.08294209702,-0.0978288572826,-0.0750602942496,False,False,False,False,False
iteration_label_expansion_short5000_t100_i4,5000,1,4,47,47,1,1,0,0,1.15483451149,1.24319022358,-0.0883557120909,7.10717558859,-0.09281164695,-0.100854842898,-0.0768330260668,False,False,False,False,False
