feature_name,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_map_family_hash,False,False,False,False,False,False
feature_map_agent_group_hash,False,False,False,False,False,False
feature_agent_count,False,False,False,False,False,False
feature_iteration_index,False,False,False,False,False,False
feature_trace_candidate_count,False,False,False,False,False,False
feature_rich_budget_count,False,False,False,False,False,False
feature_rich_committed_count,False,False,False,False,False,False
feature_rich_blocked_count,False,False,False,False,False,False
feature_rich_wait_event_count,False,False,False,False,False,False
feature_rich_progress_committed_count,False,False,False,False,False,False
feature_rich_nonprogress_committed_count,False,False,False,False,False,False
feature_rich_blocked_per_committed,False,False,False,False,False,False
feature_rich_wait_per_committed,False,False,False,False,False,False
feature_rich_blocked_per_agent,False,False,False,False,False,False
feature_rich_committed_per_agent,False,False,False,False,False,False
feature_rich_progress_ratio,False,False,False,False,False,False
feature_rich_c_update_count,False,False,False,False,False,False
feature_rich_f_update_count,False,False,False,False,False,False
feature_rich_c_nonzero_edges,False,False,False,False,False,False
feature_rich_f_nonzero_edges,False,False,False,False,False,False
feature_rich_c_flow_update_ratio,False,False,False,False,False,False
feature_rich_cost_min,False,False,False,False,False,False
feature_rich_cost_max,False,False,False,False,False,False
feature_rich_cost_span,False,False,False,False,False,False
feature_rich_cost_bounds_respected,False,False,False,False,False,False
feature_pre_update_edge_count,False,False,False,False,False,False
feature_pre_update_channel_c_mean,False,False,False,False,False,False
feature_pre_update_channel_f_mean,False,False,False,False,False,False
feature_pre_update_channel_c_max,False,False,False,False,False,False
feature_pre_update_channel_f_max,False,False,False,False,False,False
feature_pre_update_channel_f_to_c_ratio,False,False,False,False,False,False
feature_rich_pre_channel_c_before_mean,False,False,False,False,False,False
feature_rich_pre_channel_f_before_mean,False,False,False,False,False,False
feature_budget_ms,False,False,False,False,False,False
feature_budget_is_1000,False,False,False,False,False,False
feature_budget_is_2000,False,False,False,False,False,False
feature_budget_log_ms,False,False,False,False,False,False
feature_trace_raw_checkpoint_available,False,False,False,False,False,False
feature_pre_update_edge_fields_available,False,False,False,False,False,False
feature_pre_update_agent_event_fields_available,False,False,False,False,False,False
feature_trace_budget_count,False,False,False,False,False,False
feature_rich_candidate_count_context,False,False,False,False,False,False
feature_candidate_geometry_nearest_g518,False,False,False,False,False,False
feature_candidate_geometry_nearest_old14,False,False,False,False,False,False
feature_nearest_g518_distance,False,False,False,False,False,False
feature_nearest_old14_distance,False,False,False,False,False,False
feature_region_prior_hash,False,False,False,False,False,False
feature_context_bucket_prior_metadata,False,False,False,False,False,False
feature_interaction_runtime_agent_x_beta,False,False,False,False,False,False
feature_candidate_param_alpha_cong_committed,False,False,False,False,False,False
feature_candidate_param_alpha_cong_blocked,False,False,False,False,False,False
feature_candidate_param_alpha_flow_progress,False,False,False,False,False,False
feature_candidate_param_alpha_flow_wait_or_nonprogress,False,False,False,False,False,False
feature_candidate_param_rho_cong,False,False,False,False,False,False
feature_candidate_param_rho_flow,False,False,False,False,False,False
feature_candidate_param_flow_shield_beta,False,False,False,False,False,False
feature_candidate_param_max_flow_shield,False,False,False,False,False,False
feature_candidate_param_c_only,False,False,False,False,False,False
feature_within_budget_centered_alpha_cong_committed,False,False,False,False,False,False
feature_within_budget_centered_alpha_cong_blocked,False,False,False,False,False,False
feature_within_budget_centered_alpha_flow_progress,False,False,False,False,False,False
feature_within_budget_centered_alpha_flow_wait_or_nonprogress,False,False,False,False,False,False
feature_within_budget_centered_rho_cong,False,False,False,False,False,False
feature_within_budget_centered_rho_flow,False,False,False,False,False,False
feature_within_budget_centered_flow_shield_beta,False,False,False,False,False,False
feature_within_budget_centered_max_flow_shield,False,False,False,False,False,False
feature_within_budget_centered_c_only,False,False,False,False,False,False
feature_candidate_geometry_region_hash,False,False,False,False,False,False
feature_region_prior_safe_rate_proxy,False,False,False,False,False,False
feature_interaction_runtime_budget_x_beta,False,False,False,False,False,False
feature_interaction_trace_x_param_cmean_beta,False,False,False,False,False,False
feature_interaction_trace_x_param_fmean_alpha,False,False,False,False,False,False
feature_family_local_centered_beta,False,False,False,False,False,False
