map,agents,candidate_method,rows,better,worse,mean_delta_ratio_vs_ltm
maze-32-32-4,50,repair5g_dual_c_only_locked_f4,20,7,6,-0.0008704475945499945
maze-32-32-4,100,repair5g_dual_c_only_best_f4_observed,20,5,14,0.017321390653500003
random-32-32-20,50,repair5g_dual_c_only_best_f4_observed,20,2,2,-0.0010580852179999933
random-32-32-20,100,repair5g_dual_c_only_locked_f4,20,3,12,0.010438708060149982
warehouse-10-20-10-2-1,50,repair5g_dual_balanced_decay,20,0,7,0.013879449466999982
warehouse-10-20-10-2-1,100,repair5g_dual_balanced_decay,20,0,0,0.0
