scope,group,candidates,candidates_positive_under_v53_proxy,candidates_positive_under_v54,candidates_v53_positive_but_v54_positive_excluded,candidates_v53_positive_but_v54_target_excluded,median_delta_vs_additive_for_v53_positive_v54_target_excluded,median_delta_vs_static_flow_for_v53_positive_v54_target_excluded,count_excluded_because_additive_regression,count_excluded_because_static_flow_regression,count_excluded_because_g556_regression,count_excluded_because_margin_tie,count_excluded_because_unsupported_boundary,count_excluded_because_hard_infra_timeout,exact_v53_reconstruction,proxy_note
overall,all,52503,12308,3447,8861,11209,-0.08369484085,-0.0164181514799999,0,0,0,0,0,0,False,"Proxy from G5.66 create_labelv53_from_pairs: safe excludes g556/static regressions, positive if any delta vs additive/static/g556 < -margin."
family:field_group,field_group,16768,3972,1152,2820,3686,-0.0845246358150001,-0.01730103807,0,0,0,0,0,0,False,"Proxy from G5.66 create_labelv53_from_pairs: safe excludes g556/static regressions, positive if any delta vs additive/static/g556 < -margin."
family:g556_local,g556_local,14351,3327,957,2370,3073,-0.08475200986,-0.0158387310000001,0,0,0,0,0,0,False,"Proxy from G5.66 create_labelv53_from_pairs: safe excludes g556/static regressions, positive if any delta vs additive/static/g556 < -margin."
family:group,group,4768,1133,328,805,1035,-0.09096153947,-0.0194013635399998,0,0,0,0,0,0,False,"Proxy from G5.66 create_labelv53_from_pairs: safe excludes g556/static regressions, positive if any delta vs additive/static/g556 < -margin."
family:seed_actor_residual,seed_actor_residual,4608,1104,337,767,1004,-0.08256910461000011,-0.01641876752499995,0,0,0,0,0,0,False,"Proxy from G5.66 create_labelv53_from_pairs: safe excludes g556/static regressions, positive if any delta vs additive/static/g556 < -margin."
family:static_flow_local,static_flow_local,12008,2772,673,2099,2411,-0.0782399873600001,-0.0141504672499999,0,0,0,0,0,0,False,"Proxy from G5.66 create_labelv53_from_pairs: safe excludes g556/static regressions, positive if any delta vs additive/static/g556 < -margin."
