region_id,candidate_id,region_status,safe_region,useful_safe_region,seed_block_support,map_budget_agent_stratum_support,minimum_pairs_required,minimum_seed_blocks_required,minimum_strata_required,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g539_s1_061|global,repair5g539_s1_061,unsafe_success_regression,False,False,1,18,100,2,3,170,5,3,57,105,-0.000591289416286,0,-0.000591289416286,-0.000591289416286,0.00257596830171,14,78,13,17,3,170,5,2,57,106,-0.00260745799453,0,-0.00260745799453,-0.00260745799453,0.00278593795635,21,79,6,23,2,False,False,False,False,False
repair5g539_s2_087|global,repair5g539_s2_087,unsafe_success_regression,False,False,1,18,100,2,3,170,4,2,58,106,0.000836007167358,0,0.000836007167358,0.000836007167358,0.00346245152788,8,88,10,10,13,170,4,1,58,107,-0.0011746579343,0,-0.0011746579343,-0.0011746579343,0.00367242118253,16,81,10,17,4,False,False,False,False,False
repair5g539_s2_103|global,repair5g539_s2_103,unsafe_success_regression,False,False,1,18,100,2,3,170,4,3,57,106,-0.000913755426415,0,-0.000913755426415,-0.000913755426415,0.000900834851765,12,83,11,15,3,170,4,2,57,107,-0.00290806760664,0,-0.00290806760664,-0.00290806760664,0.00111080450641,14,85,8,16,4,False,False,False,False,False
repair5g539_s1_011|global,repair5g539_s1_011,unsafe_success_regression,False,False,1,18,100,2,3,170,3,3,57,107,0.00439685287112,0,0.00439685287112,0.00439685287112,0.00276743092476,4,85,18,7,2,170,3,2,57,108,0.00237183424537,0,0.00237183424537,0.00237183424537,0.00297740057941,3,90,15,5,4,False,False,False,False,False
repair5g539_s1_015|global,repair5g539_s1_015,unsafe_success_regression,False,False,1,18,100,2,3,170,3,4,56,107,0.00390129650093,0,0.00390129650093,0.00390129650093,0.00098493368,8,78,21,12,0,170,3,3,56,108,0.00188086636009,0,0.00188086636009,0.00188086636009,0.00119490333465,9,83,16,12,1,False,False,False,False,False
repair5g539_s1_053|global,repair5g539_s1_053,unsafe_success_regression,False,False,1,18,100,2,3,170,3,4,56,107,0.00173849023075,0,0.00173849023075,0.00173849023075,-0.000376362031235,12,78,17,16,1,170,3,3,56,108,-0.000261913926111,0,-0.000261913926111,-0.000261913926111,-0.000166392376588,12,82,14,15,2,False,False,False,False,False
repair5g539_s2_082|global,repair5g539_s2_082,unsafe_success_regression,False,False,1,18,100,2,3,170,3,3,57,107,-5.00422308411e-05,0,-5.00422308411e-05,-5.00422308411e-05,-3.14971688235e-05,8,88,11,11,5,170,3,2,57,108,-0.00203388590194,0,-0.00203388590194,-0.00203388590194,0.000178472485824,11,88,9,13,4,False,False,False,False,False
repair5g539_s2_101|global,repair5g539_s2_101,unsafe_success_regression,False,False,1,18,100,2,3,170,3,3,57,107,-0.00244545396421,0,-0.00244545396421,-0.00244545396421,-0.00153919749512,18,83,6,21,5,170,3,2,57,108,-0.00440711789704,0,-0.00440711789704,-0.00440711789704,-0.00132922784047,17,84,7,19,8,False,False,False,False,False
repair5g539_s3_117|global,repair5g539_s3_117,unsafe_success_regression,False,False,1,18,100,2,3,170,3,2,58,107,0.00143350903467,0,0.00143350903467,0.00143350903467,0.00237285568653,10,83,14,12,2,170,3,1,58,108,-0.000564071222222,0,-0.000564071222222,-0.000564071222222,0.00258282534118,12,86,10,13,3,False,False,False,False,False
repair5g539_s2_088|global,repair5g539_s2_088,unsafe_success_regression,False,False,1,18,100,2,3,170,2,2,58,108,-0.000222033434259,0,-0.000222033434259,-0.000222033434259,-0.000141056534706,13,83,12,15,0,170,3,2,57,108,-0.00220634045935,0,-0.00220634045935,-0.00220634045935,6.89131199412e-05,12,88,8,14,4,False,False,False,False,False
repair5g539_s1_016|global,repair5g539_s1_016,unsafe_success_regression,False,False,1,18,100,2,3,170,2,3,57,108,0.00109764361843,0,0.00109764361843,0.00109764361843,-0.000773261701235,13,83,12,16,3,170,2,2,57,109,-0.00087852888,0,-0.00087852888,-0.00087852888,-0.000563292046588,16,83,10,18,0,False,False,False,False,False
repair5g539_s1_025|global,repair5g539_s1_025,unsafe_success_regression,False,False,1,18,100,2,3,170,2,3,57,108,0.000290887624167,0,0.000290887624167,0.000290887624167,-0.00128578903876,13,77,18,16,2,170,2,2,57,109,-0.00167788344312,0,-0.00167788344312,-0.00167788344312,-0.00107581938412,13,83,13,15,1,False,False,False,False,False
repair5g539_s1_040|global,repair5g539_s1_040,unsafe_success_regression,False,False,1,18,100,2,3,170,2,3,57,108,0.00213295227185,0,0.00213295227185,0.00213295227185,-0.000115536203765,13,77,18,16,5,170,2,2,57,109,0.000147281528899,0,0.000147281528899,0.000147281528899,9.44334508824e-05,15,82,12,17,7,False,False,False,False,False
