utility_id,context_budget_iteration_key,map,map_family,agents,seed,budget_ms,iteration,candidate_id,selected_best_candidate,selected_best_goal_aware_candidate,selected_best_dual_channel_candidate,candidate_delta_vs_additive,candidate_delta_vs_static_flow_shield,solver_facing_utility,candidate_harmful,candidate_safe_positive,candidate_high_margin,fallback_to_additive_recommended,goal_aware_opportunity,dual_channel_opportunity,warehouse_guard_needed,budget_sensitive_failure,ttfs_term_available,expanded_nodes_term_available,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g533_utility_0000737,random-32-32-20|50|148|1000|1,random-32-32-20,random,50,148,1000,1,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,-0.01350135013,1.25652565257,0.01350135013,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False
g533_utility_0000798,random-32-32-20|50|151|1000|1,random-32-32-20,random,50,151,1000,1,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,-0.03597122302,1.32065775951,0.03597122302,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False
g533_utility_0000820,random-32-32-20|50|152|1000|1,random-32-32-20,random,50,152,1000,1,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,-0.04395604396,1.29416737109,0.04395604396,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False
g533_utility_0001012,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.04781281791,0,0.04781281791,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
g533_utility_0001013,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_c_only_f_disabled,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.01068158698,0.03713123093,0.01068158698,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False
g533_utility_0001015,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_block_heavy_flow_guard,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.03916581892,0.00864699899,0.03916581892,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
g533_utility_0001017,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_wait_conservative,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.04628687691,0.001525941,0.04628687691,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
g533_utility_0001018,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_wait_aggressive,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.03306205494,0.01475076297,0.03306205494,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
g533_utility_0001019,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_flow_decay,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.04781281791,0,0.04781281791,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
g533_utility_0001020,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_high_beta_cap_safe,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.03814852492,0.00966429299,0.03814852492,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
g533_utility_0001021,maze-32-32-4|50|146|2000|1,maze-32-32-4,maze,50,146,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,-0.03713123093,0.01068158698,0.03713123093,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
