region_id,deployable_region_key,candidate_id,map_family,map,agents,budget_ms,iteration_bucket,support_pairs,seed_block_support,context_support,minimum_diagnostic_pairs,minimum_strong_pairs,minimum_final_pairs,minimum_final_seed_blocks,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status,safe_region,useful_safe_region,zero_regression_vs_static_and_family
repair5g539_s2_110|random|100|2000|final,random|100|2000|final,repair5g539_s2_110,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00770551895043,-0.001133176025,-0.00770551895043,-0.00770551895043,-0.00770551895043,54,45,21,54,10,120,0,0,0,120,-0.0094893426406,-0.0057506490365,-0.0094893426406,-0.0094893426406,-0.0094893426406,62,41,17,62,8,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_005|random|100|2000|final,random|100|2000|final,repair5g541_refine_005,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00873358095838,-0.00526856305,-0.00873358095838,-0.00873358095838,-0.00873358095838,60,40,20,60,13,120,0,0,0,120,-0.0105174046485,-0.003200409,-0.0105174046485,-0.0105174046485,-0.0105174046485,58,45,17,58,11,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_014|random|100|2000|final,random|100|2000|final,repair5g541_refine_014,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00873358095838,-0.00526856305,-0.00873358095838,-0.00873358095838,-0.00873358095838,60,40,20,60,13,120,0,0,0,120,-0.0105174046485,-0.003200409,-0.0105174046485,-0.0105174046485,-0.0105174046485,58,45,17,58,11,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_023|random|100|2000|final,random|100|2000|final,repair5g541_refine_023,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00873358095838,-0.00526856305,-0.00873358095838,-0.00873358095838,-0.00873358095838,60,40,20,60,13,120,0,0,0,120,-0.0105174046485,-0.003200409,-0.0105174046485,-0.0105174046485,-0.0105174046485,58,45,17,58,11,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_002|random|100|2000|final,random|100|2000|final,repair5g541_refine_002,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00859585248069,-0.00567176352,-0.00859585248069,-0.00859585248069,-0.00859585248069,61,40,19,61,10,120,0,0,0,120,-0.0103796761709,-0.00568041842,-0.0103796761709,-0.0103796761709,-0.0103796761709,63,38,19,63,8,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_011|random|100|2000|final,random|100|2000|final,repair5g541_refine_011,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00859585248069,-0.00567176352,-0.00859585248069,-0.00859585248069,-0.00859585248069,61,40,19,61,10,120,0,0,0,120,-0.0103796761709,-0.00568041842,-0.0103796761709,-0.0103796761709,-0.0103796761709,63,38,19,63,8,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_020|random|100|2000|final,random|100|2000|final,repair5g541_refine_020,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00859585248069,-0.00567176352,-0.00859585248069,-0.00859585248069,-0.00859585248069,61,40,19,61,10,120,0,0,0,120,-0.0103796761709,-0.00568041842,-0.0103796761709,-0.0103796761709,-0.0103796761709,63,38,19,63,8,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_003|random|100|2000|final,random|100|2000|final,repair5g541_refine_003,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00841557627766,-0.00363068659,-0.00841557627766,-0.00841557627766,-0.00841557627766,58,40,22,58,14,120,0,0,0,120,-0.0101993999678,-0.006661113685,-0.0101993999678,-0.0101993999678,-0.0101993999678,65,34,21,65,12,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_012|random|100|2000|final,random|100|2000|final,repair5g541_refine_012,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00841557627766,-0.00363068659,-0.00841557627766,-0.00841557627766,-0.00841557627766,58,40,22,58,14,120,0,0,0,120,-0.0101993999678,-0.006661113685,-0.0101993999678,-0.0101993999678,-0.0101993999678,65,34,21,65,12,False,False,False,False,False,final_refined_safe_useful,True,True,True
repair5g541_refine_021|random|100|2000|final,random|100|2000|final,repair5g541_refine_021,random,random-32-32-20,100,2000,final,120,7,120,20,60,80,3,120,0,0,0,120,-0.00841557627766,-0.00363068659,-0.00841557627766,-0.00841557627766,-0.00841557627766,58,40,22,58,14,120,0,0,0,120,-0.0101993999678,-0.006661113685,-0.0101993999678,-0.0101993999678,-0.0101993999678,65,34,21,65,12,False,False,False,False,False,final_refined_safe_useful,True,True,True
