candidate_id,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,search_stage,stage_code,source_candidate_id,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,method,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count
repair5g539_s2_105,24,0,1,6,17,0.00441967331047,0,0.00441967331047,0.00441967331047,-0.00728606473842,0,14,3,1,1,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.1,1.1,1.0,0.25,0.95,0.9,0.45,0.75,False,flow_shield,repair5g518_grid_c1p1_b1p1_f1p00_w0p25_dc0p95_df0p9_beta0p45_max0p75_c0,24,0,0,6,18,-0.000858224540889,0,-0.000858224540889,-0.000858224540889,-0.000643668405667,2,15,1,2,1
repair5g539_s2_082,24,0,1,6,17,0.00464066679924,0,0.00464066679924,0.00464066679924,-0.00712952768388,1,13,3,2,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.25,1.4,1.0,0.5,0.95,0.9,0.25,0.75,False,flow_shield,repair5g518_grid_c1p25_b1p4_f1p00_w0p5_dc0p95_df0p9_beta0p25_max0p75_c0,24,0,0,6,18,-0.000649508468167,0,-0.000649508468167,-0.000649508468167,-0.000487131351125,2,15,1,2,0
repair5g539_s1_021,24,0,1,6,17,0.00469790384341,0,0.00469790384341,0.00469790384341,-0.00708898477758,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.75,0.95,0.98,0.25,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc0p95_df0p98_beta0p25_max0p75_c0,24,0,0,6,18,-0.000595451259778,0,-0.000595451259778,-0.000595451259778,-0.000446588444833,3,14,1,3,0
repair5g539_s2_095,24,0,1,6,17,0.00473696158065,0,0.00473696158065,0.00473696158065,-0.00706131888037,1,14,2,2,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.25,1.6,1.0,0.25,0.95,0.98,0.35,0.75,False,flow_shield,repair5g518_grid_c1p25_b1p6_f1p00_w0p25_dc0p95_df0p98_beta0p35_max0p75_c0,24,0,0,6,18,-0.000558563396833,0,-0.000558563396833,-0.000558563396833,-0.000418922547625,1,16,1,1,0
repair5g539_s1_041,24,0,1,6,17,0.00474542060029,0,0.00474542060029,0.00474542060029,-0.00705532707479,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.75,1.0,0.98,0.35,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc1p00_df0p98_beta0p35_max0p75_c0,24,0,0,6,18,-0.000550574322722,0,-0.000550574322722,-0.000550574322722,-0.000412930742042,3,14,1,3,0
repair5g539_s1_066,24,0,1,6,17,0.00485386051694,0,0.00485386051694,0.00485386051694,-0.00697851546717,0,14,3,1,1,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.4,1.25,1.25,0.75,0.95,1.0,0.3,0.75,False,flow_shield,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc0p95_df1p00_beta0p3_max0p75_c0,24,0,0,6,18,-0.000448158845889,0,-0.000448158845889,-0.000448158845889,-0.000336119134417,1,16,1,1,2
repair5g539_s1_016,24,0,1,6,17,0.00516487932771,0,0.00516487932771,0.00516487932771,-0.00675821047621,0,14,3,1,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.1,1.25,0.75,0.75,0.98,0.95,0.45,0.75,False,flow_shield,repair5g518_grid_c1p1_b1p25_f0p75_w0p75_dc0p98_df0p95_beta0p45_max0p75_c0,24,0,0,6,18,-0.000154418857944,0,-0.000154418857944,-0.000154418857944,-0.000115814143458,1,16,1,1,0
repair5g539_s1_056,24,0,1,6,17,0.00518348298359,0,0.00518348298359,0.00518348298359,-0.00674503288662,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.1,1.25,0.75,0.75,1.0,0.95,0.25,0.75,False,flow_shield,repair5g518_grid_c1p1_b1p25_f0p75_w0p75_dc1p00_df0p95_beta0p25_max0p75_c0,24,0,0,6,18,-0.0001368487385,0,-0.0001368487385,-0.0001368487385,-0.000102636553875,3,14,1,3,0
repair5g539_s1_011,24,0,1,6,17,0.005424587288,0,0.005424587288,0.005424587288,-0.006574250671,0,14,3,1,1,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.25,1.25,1.0,0.75,1.0,0.9,0.2,0.75,False,flow_shield,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc1p00_df0p9_beta0p2_max0p75_c0,24,0,0,6,18,9.08608823333e-05,0,9.08608823333e-05,9.08608823333e-05,6.814566175e-05,1,16,1,1,2
repair5g539_s1_053,24,0,1,6,17,0.00556152650224,0,0.00556152650224,0.00556152650224,-0.00647725206092,0,14,3,1,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.35,1.0,0.98,0.2,1.0,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p35_dc1p00_df0p98_beta0p2_max1p00_c0,24,0,0,6,18,0.000220192362444,0,0.000220192362444,0.000220192362444,0.000165144271833,2,15,1,2,0
