row_type,g567_evaluation_uid,context_id,map,map_family,agents,target_candidate_count,mean_L1_target_distance_to_g556,mean_L1_target_distance_to_static_flow,mean_L1_actor_prediction_distance_to_g556,mean_L1_actor_prediction_distance_to_static_flow
label_train_target_set,b7ce651d788fd319c980b6f817617d050d568437dc4d856f9e45c6bcf5e66a1a,g567_gate3b_label_train_00457,room_64_64_8,room,24,1.0,0.005456115802129117,0.08949813584486647,,
label_train_target_set,b7e26472a89a294e4c8155b637566c72dfdd4c84a5e667c616d500b311ba8200,g567_gate3b_label_train_00083,sortation_small,public_other,48,2.0,0.0033673360281520513,0.09042811178498802,,
label_train_target_set,b84e3b138cad0cfe00e897f2697bd9d53fab6bb8e281dc3125f85b758a0a17ac,g567_gate3b_calibration_00456,g567-spiral-40x40-a-v3,spiral,24,1.0,0.003717428147792828,0.08891857574383422,,
label_train_target_set,b856f165f613985b2ad4f99c78628bba4f7dee766f80010d940bda9fcad3541c,g567_gate3b_calibration_00235,empty_32_32,empty,256,1.0,0.06766020800859217,0.022882039211099065,,
label_train_target_set,b85b683537572744084734c740a6807657e77fca0489b82792fdc18c585f288e,g567_gate3b_calibration_00204,empty_32_32,empty,32,1.0,0.02275230238835022,0.0687513914042049,,
label_train_target_set,b86dc8d1f7d2b04cef6efde70749b205415d391f504ffec397073be360709dc2,g567_gate3b_label_train_01332,room_64_64_16,room,384,1.0,1.1842378929335004e-17,0.09009421805540724,,
label_train_target_set,b8c375b2b041ba8b0062dc4e04b2b4204647c90941ce96606b894269f5f41904,g567_gate3b_calibration_00161,empty_16_16,empty,80,1.0,0.001828985313574485,0.08948454986015959,,
label_train_target_set,b8f6cee24a4939a975990107ede988529c6091874eeac477fbdcaaef97dbf810,g567_gate3b_label_train_01934,g567-large-maze-128x128-a-v0,large_maze,2500,1.0,0.0011831535233391773,0.09127737157874641,,
label_train_target_set,b90e9beeeb80f698291b5bb48ed1337983c9e24efcf74713231eeda8710a6ff3,g567_gate3b_label_train_00126,den312d,game,24,1.0,0.00547085742155712,0.0895030546188355,,
label_train_target_set,b95bb8fbf5651cbd215536a40ff0f1768eaaf40dea87de11c1d49dc67e648160,g567_gate3b_label_train_01055,g567-large-empty-128x128-a-v3,large_empty,3000,21.0,0.010824377218026246,0.08558204345895054,,
label_train_target_set,b976a3ec67387757dc507c9e05a1cf2e852cbb693ca52982d9f11018c724fde5,g567_gate3b_label_train_00934,g567-large-empty-128x128-a-v1,large_empty,2500,1.0,0.06766655019351413,0.0228736010335741,,
label_train_target_set,b99ae05bebe56b83b8910bea0e07b58637ab6ccbb5b35d930681c1630db39bd4,g567_gate3b_label_train_00228,random_32_32_10,random,24,3.0,0.00859756019064981,0.09189208606563548,,
