map,agents,seed,scen,split_bucket,candidate_id,alpha_commit,alpha_block,alpha_wait_spillover,rho_decay,force_additive,construction,old_equivalent_rule,success,sum_of_loss_ratio,delta_ratio_vs_ltm,delta_ratio_vs_repair5e5,expanded_delta_vs_ltm,low_level_pibt_delta_vs_ltm,ttfs_delta_vs_ltm,better_vs_ltm,equal_vs_ltm,worse_vs_ltm
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,additive_ltm,1.0,1.0,1.0,1.0,True,exact_additive_anchor,additive_ltm,True,1.15109170306,0.0,,0.0,0.0,0.0,False,True,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c050_b100_w100_d100,0.5,1.0,1.0,1.0,False,one_axis_alpha_commit,,True,1.17860262009,0.02751091702999986,,29.0,1450.0,7.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b075_w100_d100,0.75,0.75,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,True,1.1576419214,0.006550218339999914,,2.0,100.0,-17.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b075_w125_d095,0.75,0.75,1.25,0.95,False,conservative_decay_combo,,True,1.18122270742,0.030131004359999825,,29.0,1450.0,-4.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b100_w075_d100,0.75,1.0,0.75,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,True,1.15021834061,-0.0008733624500001369,,-1.0,-50.0,-19.0,True,False,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b100_w100_d090,0.75,1.0,1.0,0.9,False,decay_interaction_alpha_commit,,True,1.16069868996,0.009606986899999947,,7.0,350.0,5.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b100_w100_d095,0.75,1.0,1.0,0.95,False,decay_interaction_alpha_commit,,True,1.17336244541,0.022270742349999928,,27.0,1350.0,10.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b100_w100_d100,0.75,1.0,1.0,1.0,False,one_axis_alpha_commit,,True,1.14104803493,-0.010043668130000016,,-2.0,-100.0,-26.0,True,False,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b100_w125_d090,0.75,1.0,1.25,0.9,False,conservative_decay_combo,,True,1.18122270742,0.030131004359999825,,27.0,1350.0,-2.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b100_w125_d100,0.75,1.0,1.25,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,True,1.16637554585,0.015283842789999946,,31.0,1550.0,7.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b125_w100_d090,0.75,1.25,1.0,0.9,False,conservative_decay_combo,,True,1.17772925764,0.026637554579999945,,-1.0,-50.0,2.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b125_w100_d100,0.75,1.25,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,True,1.16026200873,0.009170305669999879,,31.0,1550.0,-5.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c075_b125_w125_d095,0.75,1.25,1.25,0.95,False,conservative_decay_combo,,True,1.15458515284,0.00349344977999988,,1.0,50.0,23.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c100_b050_w100_d100,1.0,0.5,1.0,1.0,False,one_axis_alpha_block,block_light,True,1.16026200873,0.009170305669999879,,3.0,150.0,1.0,False,False,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,support_train,c100_b075_w075_d100,1.0,0.75,0.75,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,True,1.18122270742,0.030131004359999825,,29.0,1450.0,-28.0,False,False,True
