feature_group,feature_count,columns,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_map_,2,feature_map_family_hash;feature_map_agent_group_hash,False,False,False,False,False
feature_agent_,1,feature_agent_count,False,False,False,False,False
feature_budget_,4,feature_budget_ms;feature_budget_is_1000;feature_budget_is_2000;feature_budget_log_ms,False,False,False,False,False
feature_iteration_,1,feature_iteration_index,False,False,False,False,False
feature_trace_,3,feature_trace_candidate_count;feature_trace_raw_checkpoint_available;feature_trace_budget_count,False,False,False,False,False
feature_rich_,23,feature_rich_budget_count;feature_rich_committed_count;feature_rich_blocked_count;feature_rich_wait_event_count;feature_rich_progress_committed_count;feature_rich_nonprogress_committed_count;feature_rich_blocked_per_committed;feature_rich_wait_per_committed;feature_rich_blocked_per_agent;feature_rich_committed_per_agent;feature_rich_progress_ratio;feature_rich_c_update_count;feature_rich_f_update_count;feature_rich_c_nonzero_edges;feature_rich_f_nonzero_edges;feature_rich_c_flow_update_ratio;feature_rich_cost_min;feature_rich_cost_max;feature_rich_cost_span;feature_rich_cost_bounds_respected;feature_rich_pre_channel_c_before_mean;feature_rich_pre_channel_f_before_mean;feature_rich_candidate_count_context,False,False,False,False,False
feature_pre_update_edge_,2,feature_pre_update_edge_count;feature_pre_update_edge_fields_available,False,False,False,False,False
feature_pre_update_channel_,5,feature_pre_update_channel_c_mean;feature_pre_update_channel_f_mean;feature_pre_update_channel_c_max;feature_pre_update_channel_f_max;feature_pre_update_channel_f_to_c_ratio,False,False,False,False,False
feature_candidate_param_,9,feature_candidate_param_alpha_cong_committed;feature_candidate_param_alpha_cong_blocked;feature_candidate_param_alpha_flow_progress;feature_candidate_param_alpha_flow_wait_or_nonprogress;feature_candidate_param_rho_cong;feature_candidate_param_rho_flow;feature_candidate_param_flow_shield_beta;feature_candidate_param_max_flow_shield;feature_candidate_param_c_only,False,False,False,False,False
feature_candidate_geometry_,3,feature_candidate_geometry_nearest_g518;feature_candidate_geometry_nearest_old14;feature_candidate_geometry_region_hash,False,False,False,False,False
feature_nearest_old14_,1,feature_nearest_old14_distance,False,False,False,False,False
feature_nearest_g518_,1,feature_nearest_g518_distance,False,False,False,False,False
feature_region_prior_,2,feature_region_prior_hash;feature_region_prior_safe_rate_proxy,False,False,False,False,False
feature_interaction_runtime_,2,feature_interaction_runtime_agent_x_beta;feature_interaction_runtime_budget_x_beta,False,False,False,False,False
feature_interaction_trace_x_param_,2,feature_interaction_trace_x_param_cmean_beta;feature_interaction_trace_x_param_fmean_alpha,False,False,False,False,False
feature_within_context_centered_,0,,False,False,False,False,False
feature_within_budget_centered_,9,feature_within_budget_centered_alpha_cong_committed;feature_within_budget_centered_alpha_cong_blocked;feature_within_budget_centered_alpha_flow_progress;feature_within_budget_centered_alpha_flow_wait_or_nonprogress;feature_within_budget_centered_rho_cong;feature_within_budget_centered_rho_flow;feature_within_budget_centered_flow_shield_beta;feature_within_budget_centered_max_flow_shield;feature_within_budget_centered_c_only,False,False,False,False,False
feature_family_local_centered_,1,feature_family_local_centered_beta,False,False,False,False,False
