g551_targeted_row_id,execution_mode,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields,counts_as_new_g550_solver_row,g550_stage,counts_as_new_g551_solver_row,g551_stage,counts_as_new_g546_solver_row,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy
g551_targeted_no_probe_00000000_6315173395,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,additive_ltm,additive_ltm,additive_ltm,,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000001_3569672253,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,static_flow_shield,static_flow_shield,static_flow_shield,,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000002_3893333168,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,frozen_family_static_goal_aware,frozen_family_static_goal_aware,frozen_family_static_goal_aware,,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000003_4401206034,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000392,repair5g551_theta_551000392,repair5g551_theta_551000392,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.353125,1.25,0.75,0.75,1,0.9625,0.95,1,0.9145,0.9145,0.427,0.87325,0.827712465698,9.34659076213,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000000,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000004_7169413224,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000396,repair5g551_theta_551000396,repair5g551_theta_551000396,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.41875,1.25,0.75,0.75,1,0.617346416478,0.95,1,0.953,0.849067190917,0.379875,0.874875,0.989,10.394,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000001,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000005_2044555826,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000261,repair5g551_theta_551000261,repair5g551_theta_551000261,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.5,1.25,0.75,0.75,1,0.925,0.95,1,0.724,0.986,0.3175,0.7345,0.601960981483,11.4561326685,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000002,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000006_1268106975,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000178,repair5g551_theta_551000178,repair5g551_theta_551000178,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.353125,1.25,0.75,0.75,1,0.9475,0.95,1,0.9625,0.9325,0.329,0.85125,0.800712465698,9.42659076213,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000003,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000007_5503149227,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000177,repair5g551_theta_551000177,repair5g551_theta_551000177,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.31875,1.25,0.75,0.75,1,0.965,0.95,1,0.975,0.955,0.336,0.8175,0.867141643799,9.95106050808,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000004,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000008_1852343866,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000317,repair5g551_theta_551000317,repair5g551_theta_551000317,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.00953782838,1.25,0.75,0.75,1,0.835,0.95,1,0.764159865474,0.862,0.434,0.7855,0.99,11.914,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000005,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000009_3495916607,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000083,repair5g551_theta_551000083,repair5g551_theta_551000083,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000006,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
