policy_key,map_family,map,agents,budget_ms,iteration_bucket,candidate_id,method,source_region_id,fallback_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g539_s2_110,repair5g518_grid_c1p1_b1p4_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g539_s2_110|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_005,repair5g518_grid_c1p2_b1p5_f1p00_w0p25_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g541_refine_005|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_014,repair5g518_grid_c1p2_b1p5_f1p00_w0p25_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g541_refine_014|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_023,repair5g518_grid_c1p2_b1p5_f1p00_w0p25_dc0p95_df1p00_beta0p6_max0p75_c0,repair5g541_refine_023|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_002,repair5g518_grid_c1p2_b1p5_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g541_refine_002|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_011,repair5g518_grid_c1p2_b1p5_f1p00_w0p35_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g541_refine_011|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_020,repair5g518_grid_c1p2_b1p5_f1p00_w0p35_dc0p95_df1p00_beta0p6_max0p75_c0,repair5g541_refine_020|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_003,repair5g518_grid_c1p1_b1p4_f1p00_w0p25_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g541_refine_003|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_012,repair5g518_grid_c1p1_b1p4_f1p00_w0p25_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g541_refine_012|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_021,repair5g518_grid_c1p1_b1p4_f1p00_w0p25_dc0p95_df1p00_beta0p6_max0p75_c0,repair5g541_refine_021|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_004,repair5g518_grid_c1p00_b1p3_f1p00_w0p25_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g541_refine_004|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_013,repair5g518_grid_c1p00_b1p3_f1p00_w0p25_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g541_refine_013|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_022,repair5g518_grid_c1p00_b1p3_f1p00_w0p25_dc0p95_df1p00_beta0p6_max0p75_c0,repair5g541_refine_022|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_009,repair5g518_grid_c1p1_b1p4_f1p00_w0p35_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g541_refine_009|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_018,repair5g518_grid_c1p1_b1p4_f1p00_w0p35_dc0p95_df1p00_beta0p6_max0p75_c0,repair5g541_refine_018|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_006,repair5g518_grid_c1p1_b1p4_f1p00_w0p45_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g541_refine_006|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_015,repair5g518_grid_c1p1_b1p4_f1p00_w0p45_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g541_refine_015|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_001,repair5g518_grid_c1p00_b1p3_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,repair5g541_refine_001|random|100|2000|final,repair5g59_static_flow_shield,False,False,False,False,False
