context_id,g567_evaluation_uid,split,map,map_family,ltm_target_map,ltm_target_match_type,agent_count,official_scenario,map_source_type,scenario_source_type,complete_triple,ltm_30s_present,ltm_30s_success,ltm_30s_ratio,ltm_30s_solver_wall_ms,ltm_30s_actor_inference_ms,ltm_30s_total_method_ms,ltm_30s_hard_timeout,ltm_30s_infrastructure_failure,static_flow_30s_present,static_flow_30s_success,static_flow_30s_ratio,static_flow_30s_solver_wall_ms,static_flow_30s_actor_inference_ms,static_flow_30s_total_method_ms,static_flow_30s_hard_timeout,static_flow_30s_infrastructure_failure,gate3b_actor_30s_present,gate3b_actor_30s_success,gate3b_actor_30s_ratio,gate3b_actor_30s_solver_wall_ms,gate3b_actor_30s_actor_inference_ms,gate3b_actor_30s_total_method_ms,gate3b_actor_30s_hard_timeout,gate3b_actor_30s_infrastructure_failure,actor_vs_ltm_both_success,actor_vs_ltm_success_gain,actor_vs_ltm_success_regression,actor_vs_ltm_relative_quality_improvement,actor_vs_ltm_harmful_quality_delta,actor_vs_ltm_runtime_change_ms,actor_vs_static_flow_both_success,actor_vs_static_flow_success_gain,actor_vs_static_flow_success_regression,actor_vs_static_flow_relative_quality_improvement,actor_vs_static_flow_harmful_quality_delta,actor_vs_static_flow_runtime_change_ms,static_flow_vs_ltm_both_success,static_flow_vs_ltm_success_gain,static_flow_vs_ltm_success_regression,static_flow_vs_ltm_relative_quality_improvement,static_flow_vs_ltm_harmful_quality_delta,static_flow_vs_ltm_runtime_change_ms
g567_gate3b_calibration_00078,d9c3c0fc9274df0d53212f9c59be09d2cf8fc8f5831eacd6b3d670167f45d9d2,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,16,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.05532786885,55.837901309132576,0.0,55.837901309132576,False,False,True,True,1.03073770492,67.51066539436579,0.0,67.51066539436579,False,False,True,False,nan,13.104148209095001,15.325724667705158,28.42987287680016,False,False,False,False,True,nan,nan,-27.408028432332415,False,False,True,nan,nan,-39.08079251756563,True,False,False,0.023300970869646647,0.0,11.672764085233212
g567_gate3b_calibration_00079,c8805c78c8ac423a533892814d6debeaa28cc5fd4f1d9b8b28f1c59ccc827a08,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,16,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.07223476298,56.220256723463535,0.0,56.220256723463535,False,False,True,True,1.0316027088,68.03352292627096,0.0,68.03352292627096,False,False,True,False,nan,14.241850934922695,15.325724667705158,29.567575602627855,False,False,False,False,True,nan,nan,-26.65268112083568,False,False,True,nan,nan,-38.46594732364311,True,False,False,0.037894736845757296,0.0,11.813266202807426
g567_gate3b_calibration_00080,f01fc3ae19e9a9363a2268ca61a156919b1dcbb501a73d9e0684e2c2e7991ed4,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,16,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.0498960499,63.99940699338913,0.0,63.99940699338913,False,False,True,True,1.02286902287,68.56376118957996,0.0,68.56376118957996,False,False,True,False,nan,9.62868146598339,15.325724667705158,24.95440613368855,False,False,False,False,True,nan,nan,-39.04500085970058,False,False,True,nan,nan,-43.60935505589141,True,False,False,0.025742574260160713,0.0,4.564354196190834
g567_gate3b_calibration_00081,1ffdfc0514ae71b112decae09fa923b36b90b0f0d9f8689e08c7d66cb196ff29,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,16,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.07505070994,55.88493496179581,0.0,55.88493496179581,False,False,True,True,1.03651115619,68.25987063348293,0.0,68.25987063348293,False,False,True,False,nan,11.233960278332233,15.325724667705158,26.559684946037393,False,False,False,False,True,nan,nan,-29.325250015758414,False,False,True,nan,nan,-41.70018568744554,True,False,False,0.035849056601386646,0.0,12.374935671687126
g567_gate3b_calibration_00082,04d716179885440503ffccadd924bc2bdc1827c6432cba4120a1342be60b3f78,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,16,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.00722891566,53.95111721009016,0.0,53.95111721009016,False,False,True,True,1.00722891566,70.93226071447134,0.0,70.93226071447134,False,False,True,False,nan,32.668935135006905,15.325724667705158,47.994659802712064,False,False,False,False,True,nan,nan,-5.956457407378096,False,False,True,nan,nan,-22.937600911759276,True,False,False,0.0,0.0,16.98114350438118
g567_gate3b_calibration_00086,2e990b94a01306b0fd7e4277e32f87716bc55140b641beabe4cd6d5eafb62b66,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,192,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.24791265254,454.6222034841776,0.0,454.6222034841776,False,False,True,True,1.25240847784,556.7051423713565,0.0,556.7051423713565,False,False,True,True,1.28692999358,552.098274230957,15.325724667705158,567.4239988986621,False,False,True,False,False,-0.03126608337577494,0.03126608337577494,112.80179541448456,True,False,False,-0.02756410256782877,0.02756410256782877,10.718856527305661,True,False,False,-0.0036026762697286834,0.0036026762697286834,102.0829388871789
g567_gate3b_calibration_00087,4076d31fe2928b2e0f299c91b7349b6faecec2f2f8ea68b1c55b58e0fba17ece,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,192,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.27691569349,434.78226382285357,0.0,434.78226382285357,False,False,True,True,1.28603423452,551.7360484227538,0.0,551.7360484227538,False,False,True,True,1.30331147016,548.4011685475707,15.325724667705158,563.7268932152758,False,False,True,False,False,-0.020671510895019597,0.020671510895019597,128.94462939242226,True,False,False,-0.013434506777689715,0.013434506777689715,11.990844792522012,True,False,False,-0.0071410673989586336,0.0071410673989586336,116.95378459990025
g567_gate3b_calibration_00088,c60ea21bb305fe4662009c9bed87c54d3d7b93d7e4b1862b509bda520b276eda,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,192,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.26361655773,465.6034801155329,0.0,465.6034801155329,False,False,True,True,1.28976034858,552.9087651520967,0.0,552.9087651520967,False,False,True,True,1.27752639517,546.8977969139814,15.325724667705158,562.2235215816866,False,False,True,False,False,-0.011007957560312462,0.011007957560312462,96.62004146615368,True,False,False,0.009485446985146763,0.0,9.314756429589806,True,False,False,-0.02068965517274123,0.02068965517274123,87.30528503656387
g567_gate3b_calibration_00092,ad45ddc2e30608df64d57ea8a7983794fb5b7714c0cdc1ca7cb2a34466bb1941,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,2.95001540018,3005.6469785049558,0.0,3005.6469785049558,False,False,True,True,3.26052712633,3061.728311702609,0.0,3061.728311702609,False,False,True,True,3.54697056365,2906.0811763629317,15.325724667705158,2921.406901030637,False,False,True,False,False,-0.2023566261496723,0.2023566261496723,-84.2400774743187,True,False,False,-0.08785187984079629,0.08785187984079629,-140.321410671972,True,False,False,-0.10525766276713462,0.10525766276713462,56.081333197653294
g567_gate3b_calibration_00093,a9ac363e1f4a1211e44890d7a7320bf2e62754d0844a5a40d5e5de8acf379706,CALIBRATION,warehouse_small,warehouse,warehouse-10-20-10-2-2,fallback_same_family,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,2.96688514758,3044.5288084447384,0.0,3044.5288084447384,False,False,True,True,3.16321809536,2757.3103113099933,0.0,2757.3103113099933,False,False,True,True,3.2180096817,2762.821029871702,15.325724667705158,2778.1467545394075,False,False,True,False,False,-0.08464248584911839,0.08464248584911839,-266.38205390533085,True,False,False,-0.017321469683159545,0.017321469683159545,20.83644322941427,True,False,False,-0.06617477186137209,0.06617477186137209,-287.2184971347451
