stage,decision,rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
A_g551_verification,g552_g551_artifacts_verified_autopsy_field_ignored,1629,False,False,False,False,False
B_literature_label_audit,g552_literature_label_audit_complete,6,False,False,False,False,False
C_staticflow_vs_additive_margin,g552_static_flow_margin_audited_mixed_or_underpowered,9975,False,False,False,False,False
D_g551_targeted_autopsy_v2,g551_targeted_replay_semantics_confounded_by_theta_slate_usage,352,False,False,False,False,False
E_label_v2_schema,g552_label_v2_schema_created,40,False,False,False,False,False
F_label_expansion_plan,g552_hard_negative_label_expansion_plan_created,128000,False,False,False,False,False
G_label_v2_dataset,g552_label_v2_dataset_passed_train_policy,128000,False,False,False,False,False
H_safe_theta_library,g552_safe_theta_library_created,25,False,False,False,False,False
I_policy_as_executed,g552_label_v2_offline_policy_not_safe_continue_label_design,14,False,False,False,False,False
J_K_targeted,g552_policy_as_executed_targeted_skipped_offline_gate_not_met,0,False,False,False,False,False
L_blind,g552_blind_skipped_targeted_gate_not_met,,False,False,False,False,False
