sample_index,mean_auxiliary_error,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,0.143408105672,False,False,False,False,False
1,0.140477748388,False,False,False,False,False
2,0.136274506342,False,False,False,False,False
3,0.139778709363,False,False,False,False,False
4,0.133305584742,False,False,False,False,False
5,0.139599033976,False,False,False,False,False
6,0.135095373591,False,False,False,False,False
7,0.134222380815,False,False,False,False,False
8,0.145219679742,False,False,False,False,False
9,0.143186600625,False,False,False,False,False
10,0.138000337281,False,False,False,False,False
11,0.137362696534,False,False,False,False,False
12,0.14631819456,False,False,False,False,False
13,0.142794236368,False,False,False,False,False
14,0.146225276837,False,False,False,False,False
15,0.135366534659,False,False,False,False,False
16,0.14160958016,False,False,False,False,False
17,0.139517564306,False,False,False,False,False
18,0.140807082569,False,False,False,False,False
19,0.137391559262,False,False,False,False,False
20,0.141931557266,False,False,False,False,False
21,0.139300645995,False,False,False,False,False
22,0.138494000716,False,False,False,False,False
23,0.139106107293,False,False,False,False,False
24,0.133636466543,False,False,False,False,False
25,0.144081712021,False,False,False,False,False
26,0.133376106889,False,False,False,False,False
27,0.141263843188,False,False,False,False,False
28,0.14546497691,False,False,False,False,False
29,0.136745992951,False,False,False,False,False
30,0.141094155292,False,False,False,False,False
31,0.14506914663,False,False,False,False,False
32,0.137561301969,False,False,False,False,False
33,0.138028035149,False,False,False,False,False
34,0.134250575835,False,False,False,False,False
35,0.144275855703,False,False,False,False,False
36,0.134392232255,False,False,False,False,False
37,0.135960833663,False,False,False,False,False
38,0.139469635614,False,False,False,False,False
39,0.146716804578,False,False,False,False,False
40,0.136436779161,False,False,False,False,False
41,0.143289752652,False,False,False,False,False
42,0.136732455944,False,False,False,False,False
43,0.140880701171,False,False,False,False,False
44,0.142393634239,False,False,False,False,False
45,0.13462936625,False,False,False,False,False
46,0.14355309821,False,False,False,False,False
47,0.137898214522,False,False,False,False,False
48,0.133817858929,False,False,False,False,False
49,0.146816492187,False,False,False,False,False
50,0.138720455828,False,False,False,False,False
51,0.146470824679,False,False,False,False,False
52,0.146151528493,False,False,False,False,False
53,0.14623148076,False,False,False,False,False
54,0.139179078893,False,False,False,False,False
55,0.137936939345,False,False,False,False,False
56,0.137213628454,False,False,False,False,False
57,0.143420578971,False,False,False,False,False
58,0.141245681453,False,False,False,False,False
59,0.143239948874,False,False,False,False,False
60,0.140591988599,False,False,False,False,False
61,0.14384376654,False,False,False,False,False
62,0.145817185812,False,False,False,False,False
63,0.135180467249,False,False,False,False,False
64,0.13782574843,False,False,False,False,False
65,0.145034689445,False,False,False,False,False
66,0.143986387009,False,False,False,False,False
67,0.13801277446,False,False,False,False,False
68,0.141913921842,False,False,False,False,False
