split,run_id,checkpoint_id,map_name,agents,seed,iteration,target_rule_original,target_rule_executable,predicted_rule,top1_correct,top3_correct,raw_original_top1_correct,target_family,predicted_family,family_top1_correct,harmful_update,harmful_update_probability,harmful_prediction,selected_rule_harmful,predicted_rule_delta_ratio_vs_additive,target_delta_ratio_vs_additive,neutral,top3_rules,predicted_score
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter0,empty-16-16,50,1,0,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,0,0.3932065963745117,1,0,0.0,0.077519379845,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",0.5678252577781677
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter1,empty-16-16,50,1,1,wait_heavy,wait_heavy,additive_ltm,0,0,0,wait,additive,0,0,0.39645564556121826,1,0,0.0,0.244186046512,0,"[""additive_ltm""]",0.0804900974035263
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter2,empty-16-16,50,1,2,block_light,block_light,additive_ltm,0,0,0,block,additive,0,1,0.3635215163230896,1,0,0.0,0.0968992248062,0,"[""additive_ltm"", ""decay_095""]",0.2992669343948364
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter3,empty-16-16,50,1,3,block_heavy,block_heavy,additive_ltm,0,0,0,block,additive,0,1,0.3136579394340515,1,0,0.0,0.0077519379845,0,"[""additive_ltm"", ""decay_095""]",0.426999568939209
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter0,empty-16-16,100,1,0,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,1,0.48528817296028137,1,0,0.0,0.0951923076923,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",0.2846861481666565
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter1,empty-16-16,100,1,1,block_heavy,block_heavy,additive_ltm,0,0,0,block,additive,0,1,0.46621763706207275,1,0,0.0,0.0346153846154,0,"[""additive_ltm""]",0.26978278160095215
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter2,empty-16-16,100,1,2,decay_095,decay_095,additive_ltm,0,0,0,decay,additive,0,0,0.41945555806159973,1,0,0.0,0.128846153846,0,"[""additive_ltm""]",0.2589612603187561
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter3,empty-16-16,100,1,3,decay_090,decay_090,additive_ltm,0,0,0,decay,additive,0,1,0.4550081193447113,1,0,0.0,0.0471153846154,0,"[""additive_ltm""]",0.24507689476013184
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter0,empty-16-16,200,1,0,commit_heavy,commit_heavy,additive_ltm,0,0,0,commit,additive,0,1,0.5076204538345337,1,0,0.0,1.14440611138,0,"[""additive_ltm""]",0.173871248960495
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter1,empty-16-16,200,1,1,block_light,block_light,additive_ltm,0,0,0,block,additive,0,1,0.5643355250358582,1,0,0.0,0.203548546082,0,"[""additive_ltm""]",0.3537089228630066
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter2,empty-16-16,200,1,2,commit_heavy,commit_heavy,additive_ltm,0,0,0,commit,additive,0,1,0.5634952187538147,1,0,0.0,0.459832429768,0,"[""additive_ltm""]",0.2765248417854309
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter3,empty-16-16,200,1,3,neutral_additive,additive_ltm,additive_ltm,1,1,1,additive,additive,1,1,0.551550567150116,1,0,0.0,0.0,1,"[""additive_ltm""]",0.2752598524093628
train,empty-16-16__a50__i2__phase4_phase4-full-repair1,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter0,empty-16-16,50,2,0,neutral_additive,additive_ltm,block_heavy,0,1,0,additive,block,0,1,0.43254348635673523,1,1,-0.0294117647059,0.0,1,"[""block_heavy"", ""additive_ltm"", ""decay_090""]",1.2596747875213623
train,empty-16-16__a50__i2__phase4_phase4-full-repair1,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter1,empty-16-16,50,2,1,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,0,0.40582096576690674,1,0,0.0,0.174369747899,0,"[""additive_ltm""]",0.41335058212280273
train,empty-16-16__a50__i2__phase4_phase4-full-repair1,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter2,empty-16-16,50,2,2,block_heavy,block_heavy,additive_ltm,0,0,0,block,additive,0,1,0.32589423656463623,1,0,0.0,0.0357142857143,0,"[""additive_ltm"", ""decay_095""]",0.3415640592575073
train,empty-16-16__a50__i2__phase4_phase4-full-repair1,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter3,empty-16-16,50,2,3,block_light,block_light,additive_ltm,0,0,0,block,additive,0,1,0.33564409613609314,1,0,0.0,0.0126050420168,0,"[""additive_ltm"", ""decay_095""]",0.3740689754486084
train,empty-16-16__a100__i2__phase4_phase4-full-repair1,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter0,empty-16-16,100,2,0,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,0,0.5239346623420715,1,0,0.0,0.157345971564,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",0.4106881022453308
train,empty-16-16__a100__i2__phase4_phase4-full-repair1,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter1,empty-16-16,100,2,1,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,1,0.5323784351348877,1,0,0.0,0.0142180094787,0,"[""additive_ltm""]",0.3270777761936188
train,empty-16-16__a100__i2__phase4_phase4-full-repair1,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter2,empty-16-16,100,2,2,decay_090,decay_090,additive_ltm,0,0,0,decay,additive,0,1,0.4852190613746643,1,0,0.0,0.042654028436,0,"[""additive_ltm""]",0.3376789093017578
train,empty-16-16__a100__i2__phase4_phase4-full-repair1,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter3,empty-16-16,100,2,3,commit_heavy,commit_heavy,additive_ltm,0,0,0,commit,additive,0,1,0.4711613357067108,1,0,0.0,0.0341232227488,0,"[""additive_ltm""]",0.24984058737754822
train,empty-16-16__a200__i2__phase4_phase4-full-repair1,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter0,empty-16-16,200,2,0,commit_heavy,commit_heavy,additive_ltm,0,0,0,commit,additive,0,1,0.49833840131759644,1,0,0.0,0.334134615385,0,"[""additive_ltm""]",0.15026943385601044
train,empty-16-16__a200__i2__phase4_phase4-full-repair1,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter1,empty-16-16,200,2,1,neutral_additive,additive_ltm,additive_ltm,1,1,1,additive,additive,1,1,0.5931010246276855,1,0,0.0,0.0,1,"[""additive_ltm""]",0.39497047662734985
train,empty-16-16__a200__i2__phase4_phase4-full-repair1,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter2,empty-16-16,200,2,2,decay_090,decay_090,additive_ltm,0,0,0,decay,additive,0,0,0.5795114040374756,1,0,0.0,0.258173076923,0,"[""additive_ltm""]",0.30380767583847046
train,empty-16-16__a200__i2__phase4_phase4-full-repair1,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter3,empty-16-16,200,2,3,wait_heavy,wait_heavy,additive_ltm,0,0,0,wait,additive,0,1,0.5479680299758911,1,0,0.0,0.120673076923,0,"[""additive_ltm""]",0.32407552003860474
train,empty-16-16__a50__i3__phase4_phase4-full-repair1,empty-16-16__a50__i3__phase4_phase4-full-repair1__iter0,empty-16-16,50,3,0,block_heavy,block_heavy,additive_ltm,0,0,0,block,additive,0,1,0.397871196269989,1,0,0.0,0.0685714285714,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",0.43651002645492554
