theta_id,theta_family,support_strata,safe_positive_support,hard_negative_support,hard_negative_regression_count_vs_static_flow,hard_negative_regression_count_vs_additive,fingerprint_match_rate,support_distance_threshold,utility_mean,utility_CI,forbidden_reason,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g549_theta_549000001,static_flow_local_perturbation_fulltheta,2,6,0,0,0,1,0.05,0.0284087545,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1.03503932992,0.95,1,1.23452993094,1.20241499517,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000002,lambda_flow_lambda_cong_sweep,2,18,2,2,2,1,0.05,0.028126757075,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.703692592615,0.0762838474323,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000003,alpha_flow_wait_progress_sweep,2,20,2,2,2,1,0.05,0.0187342390034,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.5445501609,0.95,1,1,0.640902218196,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000004,edge_cost_clamp_sweep,2,10,2,2,2,1,0.05,0.022532460022,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.849183551633,10.1785956428,1,0,0,False,False,False,False,False
repair5g549_theta_549000005,goal_projection_mode_ablation,2,22,0,0,0,1,0.05,0.0438816432961,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.46084407831,0.35,0.75,1,11,0,1,0,False,False,False,False,False
repair5g549_theta_549000006,alpha_cong_commit_nonprogress_sweep,2,20,0,0,0,1,0.05,0.0272892426484,compact_audit_not_claim,,1.25,0.612231025538,1.25,0.75,0.75,1,1,0.95,1,0.825583348833,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000007,g543_true_near_signal_neighborhood,2,18,0,0,0,1,0.05,0.0475177168742,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.660884478231,0.321962756074,0.938327623345,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000008,g546_g548_safe_no_gain_neighborhood,2,16,0,0,0,1,0.05,0.021240151031,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.695458009084,0.95,1,0.972872204256,1,0.35,0.75,0.407684134632,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000009,surrogate_guided_theta_if_model_exists,2,20,0,0,0,1,0.05,0.0369231417738,compact_audit_not_claim,,1.25,1.49003971992,1.25,0.75,0.75,1,1,0.95,1,0.711585476829,0.9074000852,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000010,negative_control,2,4,0,0,0,1,0.05,0.016842660405,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.3124513751,0.662446675107,0.35,0.75,1,9.34274531451,0,0,1,False,False,False,False,False
repair5g549_theta_549000011,static_flow_local_perturbation_fulltheta,2,18,2,2,2,1,0.05,0.0333389977304,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.768346463307,0.95,1,0.717935764128,0.706961186078,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000012,lambda_flow_lambda_cong_sweep,2,16,0,0,0,1,0.05,0.0241133451525,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.843708312583,0.0204599590801,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000013,alpha_flow_wait_progress_sweep,2,12,0,0,0,1,0.05,0.0230745390183,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1.10377529245,0.95,1,1,0.510681478637,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000014,edge_cost_clamp_sweep,2,12,0,0,0,1,0.05,0.0215583936217,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.736289277421,11.6438527123,1,0,0,False,False,False,False,False
repair5g549_theta_549000015,goal_projection_mode_ablation,2,22,0,0,0,1,0.05,0.0533903319636,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.42332315335,0.35,0.75,1,11,0,0,1,False,False,False,False,False
