artifact_name,path,exists,row_count_or_file_count,sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g536_decision_summary.json,True,1,2348275e042ad5f7cb67d664452b5b8070079be70cca1b71958bda65213a7ce0,False,False,False,False,False
real_no_regression_replay_summary,outputs/reports/phase5p5_repair5g536_real_no_regression_replay_summary.json,True,1,1eeba569e6aa22050ff724aed3a38b8d7055f9aa0f821428f787716872ea80d6,False,False,False,False,False
real_no_regression_evidence_summary,outputs/reports/phase5p5_repair5g536_real_no_regression_evidence_summary.json,True,1,b19192d09e6e97ace28359d56520bee114f9381f2e8883179e0e836955f7d890,False,False,False,False,False
pareto_safety_gate_summary,outputs/reports/phase5p5_repair5g536_pareto_safety_gate_summary.json,True,1,8dc401ce232f23e2e3df227c527a4e9f5a3a0348f8c7117b2f08cb7f831f7f99,False,False,False,False,False
opportunity_recovery_selector_summary,outputs/reports/phase5p5_repair5g536_opportunity_recovery_selector_summary.json,True,1,8c6d660071d0ad8c4ccfb03bbd4da49a6aaeb425be523d7aca07f89fb0eb4993,False,False,False,False,False
candidate_specific_safety_summary,outputs/reports/phase5p5_repair5g536_candidate_specific_safety_summary.json,True,1,d7bf91135a77f1861d7d208338c920ed6729e0f8a8c2817a46b7115b9e3a37c7,False,False,False,False,False
safe_opportunity_dataset_summary,outputs/reports/phase5p5_repair5g536_safe_opportunity_dataset_summary.json,True,1,25698606c918c2b227e688bca807f9848c9a719c686efdbf929be35cee7721f1,False,False,False,False,False
real_selected_vs_additive,outputs/tables/phase5p5_repair5g536_real_selected_vs_additive.csv,True,508,7dcb3faa82746aec869d3f59f6d15401b051967c95335de605396dff210d9bce,False,False,False,False,False
real_selected_vs_static,outputs/tables/phase5p5_repair5g536_real_selected_vs_static.csv,True,494,9e6cc618f3237406fa8e79bd85ef3420eee6cbd0d643a5afed39ea05e8dac6a4,False,False,False,False,False
real_selected_vs_g535,outputs/tables/phase5p5_repair5g536_real_selected_vs_g535.csv,True,508,2d949247ac1680126a9a6c1362977d8b484f5fd312f9af50cf12217b0f85b50f,False,False,False,False,False
real_no_regression_replay_results,outputs/tables/phase5p5_repair5g536_real_no_regression_replay_results.csv,True,3981,20e36dda61b7512305ab9f0dca38c5dee0c9cd4fb366bad13864e0e18b023799,False,False,False,False,False
candidate_safe_whitelist,outputs/tables/phase5p5_repair5g536_candidate_safe_whitelist.csv,True,104,0e3af4cb8e1c6a1cd4df8ed97c640538d4455322bd982092baafc0036466ad38,False,False,False,False,False
candidate_unsafe_blacklist,outputs/tables/phase5p5_repair5g536_candidate_unsafe_blacklist.csv,True,61,461ccd2dcb49399aa83f2b5f5c8f313edde80aa2ee9f495e28c3fc50f5f59704,False,False,False,False,False
repair5g536_common,scripts/repair5g536_common.py,True,1,f03eacfb7b865a2f32881227babd08d4eec6df28e398a7466c053f64f8f23bec,False,False,False,False,False
