row_type,candidate_id,candidate_block,candidate_family,nearest_retained_g518,nearest_retained_g518_distance,exact_duplicate_of_retained_g518,near_duplicate_of_retained_g518,oracle_win_budget_pairs,candidate_induced_no_solution_count,static_failure_recovery_count,mean_delta_vs_old14_plus_g518,delta_alpha_cong_committed,delta_alpha_cong_blocked,delta_alpha_flow_progress,delta_alpha_flow_wait_or_nonprogress,delta_rho_cong,delta_rho_flow,delta_flow_shield_beta,delta_max_flow_shield,delta_c_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
selected_g521_candidate,repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_A_block_heavy,block_heavy,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.0,True,True,0,0,0,0.02279493962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_A_block_heavy,block_heavy,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,True,True,0,0,0,0.036029671147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_A_block_heavy,block_heavy,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,True,True,0,0,0,0.032789721236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p90_df1p00_beta0p45_max0p75_c0,block_A_block_heavy,block_heavy,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.05,False,True,0,0,0,0.02279493962,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,block_B_high_beta,high_beta,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.0,True,True,0,0,0,0.037580827808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,block_B_high_beta,high_beta,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.0,True,True,0,3,0,0.039690718156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,block_B_high_beta,high_beta,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,0.0,True,True,0,2,0,0.030409034962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,block_B_high_beta,high_beta,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.05,False,True,0,2,0,0.032681577748,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,block_C_wait_conservative,wait_conservative,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,True,True,0,1,0,0.028870381176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,block_C_wait_conservative,wait_conservative,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.0,True,True,0,1,0,0.030926074205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p90_df1p00_beta0p35_max0p75_c0,block_C_wait_conservative,wait_conservative,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.05,False,True,1,1,0,0.028846234525,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,False,False,False,False,False
selected_g521_candidate,repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max0p75_c0,block_C_wait_conservative,wait_conservative,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.05,False,True,0,1,0,0.043946592577,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,False,False,False,False,False
