fold,size_label,seed,best_rich_model,best_rich_validation_risk,best_control_model,best_control_validation_risk,rich_beats_matched_control
0,128,565,E2,0.01265494319437468,B1,0.012669352104182036,True
0,128,566,E2,0.01264548214307586,B1,0.01267568314443924,True
0,128,567,E1,0.012645221585568658,B1,0.012671043327066315,True
0,256,565,E1,0.012618073406599276,B2,0.012688710198875002,True
0,256,566,E1,0.012576655985160674,B1,0.012690983795751098,True
0,256,567,E1,0.012614122439670184,B1,0.01268769191275638,True
0,512,565,E2,0.01258808935379297,B1,0.012644639504638885,True
0,512,566,E1,0.012590072652897398,B1,0.012645262463614202,True
0,512,567,E1,0.012576750067819702,B1,0.012645923116219442,True
0,all,565,E2,0.012558637834395538,B1,0.012594085052684943,True
0,all,566,E1,0.012563585312521044,B1,0.012592721227702173,True
0,all,567,E1,0.012557172386933324,B1,0.012594903122696876,True
1,128,565,E1,0.011071196410299666,B2,0.01106168526666881,False
1,128,566,E2,0.011076257296309554,B2,0.011074205515256142,False
1,128,567,E1,0.01108686911503136,B2,0.011058816677156521,False
1,256,565,E2,0.01102323357931976,B2,0.010993152296011508,False
1,256,566,E2,0.011014478701119181,B2,0.01099812979576491,False
1,256,567,E1,0.011030940174437781,B2,0.010997421385224934,False
1,512,565,E2,0.010940927342256006,B2,0.010930179588548587,False
1,512,566,E2,0.010918547703251217,B2,0.010956348099004417,True
1,512,567,E1,0.010933091336866265,B2,0.010974067639098726,True
1,all,565,E2,0.010901786770689807,B2,0.010943490756633784,True
1,all,566,E1,0.010873094801902435,B2,0.010936469276892666,True
1,all,567,E1,0.010897909301522016,B2,0.010934425634289318,True
2,128,565,E1,0.005902736978156173,B1,0.005926422099386617,True
2,128,566,E2,0.005948479347010478,B1,0.0059372287469075516,False
2,128,567,E1,0.005844066467809416,B1,0.005932948765191999,True
2,256,565,E1,0.005690546218789312,B2,0.005753814542412943,True
2,256,566,E2,0.005718200305143647,B2,0.005773817104366711,True
2,256,567,E2,0.0055470235864086516,B2,0.0057754484273715035,True
2,512,565,E2,0.005502996903235813,B2,0.005751551543185809,True
2,512,566,E1,0.005500715768283659,B2,0.0057638687168495755,True
2,512,567,E2,0.005521668134724399,B2,0.005759187192443316,True
2,all,565,E2,0.005515927251592602,B2,0.005704713082850647,True
2,all,566,E1,0.005508270077922795,B2,0.005686835698330095,True
2,all,567,E1,0.005495972713428117,B2,0.0057106634026814485,True
3,128,565,E1,0.01891854118092705,B1,0.018913603154159808,False
3,128,566,E2,0.01894564361871822,B2,0.01890797446423797,False
3,128,567,E1,0.018889213054930253,B1,0.01891460770208293,True
3,256,565,E2,0.01879246240201638,B2,0.01874388124213526,False
3,256,566,E2,0.018803928795014732,B2,0.018752509308483566,False
3,256,567,E1,0.018808850072505934,B2,0.018750483598147613,False
3,512,565,E1,0.018714390354116612,B2,0.018716264908739233,True
3,512,566,E1,0.018695361061160102,B2,0.01870201406050758,True
3,512,567,E2,0.01873266852039311,B2,0.018723187851371757,False
3,all,565,E1,0.018731206735213383,B2,0.018752222173560203,True
3,all,566,E2,0.018736818666761378,B2,0.018764432693244612,True
3,all,567,E1,0.018751120913402947,B2,0.018755494306544905,True
