actual_action_class,predicted_action_class,count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
abstain_due_risk,old14_select,37,False,False,False,False,False
old14_g518_fallback,g518_select,2,False,False,False,False,False
old14_g518_fallback,old14_select,99,False,False,False,False,False
old14_g518_fallback,safe_g522_select,16,False,False,False,False,False
old14_select,old14_select,124,False,False,False,False,False
safe_g522_select,old14_select,25,False,False,False,False,False
safe_g522_select,safe_g522_select,109,False,False,False,False,False
