split,map_name,agents,sample_count,top1,top3,mean_selected_delta,fallback_rate
validation,empty-48-48,50,60,0.48333333333333334,0.8666666666666667,0.0059004281805561665,0.25
validation,empty-48-48,100,60,0.4666666666666667,0.8833333333333333,0.008569669312532351,0.23333333333333334
validation,empty-48-48,200,60,0.55,0.85,0.003227072178163167,0.5166666666666667
validation,empty-48-48,400,60,0.55,0.8666666666666667,0.007370785593236017,0.38333333333333336
validation,maze-32-32-4,50,60,0.3,0.7166666666666667,0.003318729341139,0.6
validation,maze-32-32-4,100,60,0.2833333333333333,0.7,0.015232408728967,0.8
validation,maze-32-32-4,200,60,0.21666666666666667,0.5666666666666667,0.00024380249948833334,0.9833333333333333
validation,maze-32-32-4,400,39,0.3333333333333333,0.4358974358974359,0.0,0.9743589743589743
