row_type,model,metric,estimate,ci_low,ci_high,samples
bootstrap_ci,best_fixed_param_baseline,safe_policy_sim_utility,0.012393613295767325,-0.002021369375714286,0.028249476159523817,300
bootstrap_ci,candidate_avoidable_risk_model,safe_policy_sim_utility,0.022452934728301583,0.002579328888095237,0.050383980714210526,300
bootstrap_ci,candidate_utility_model,safe_policy_sim_utility,0.023280475353994246,0.0007000629464999992,0.05052960885095238,300
bootstrap_ci,context_only_ablation,safe_policy_sim_utility,0.03651758389327419,0.024465991772000005,0.049696059822999995,300
bootstrap_ci,context_only_opportunity_classifier,safe_policy_sim_utility,0.03547199252321484,0.02216043034380952,0.049101144679473685,300
bootstrap_ci,context_to_best_param_regressor,safe_policy_sim_utility,0.03591862848849615,0.023442000694761902,0.051748504830000014,300
bootstrap_ci,label_shuffled_risk_control,safe_policy_sim_utility,0.02568357774543109,0.0041846192147368426,0.05300085314388889,300
bootstrap_ci,label_shuffled_utility_control,safe_policy_sim_utility,0.07517427326753522,0.05201319641238097,0.09985683917857147,300
bootstrap_ci,nearest_g518_param_baseline,safe_policy_sim_utility,0.02590351735852836,0.017773194315499997,0.03378740518190476,300
bootstrap_ci,old14_plus_g518_no_new_baseline,safe_policy_sim_utility,0.0,0.0,0.0,300
bootstrap_ci,pairwise_preference_ranker,safe_policy_sim_utility,0.02303824366679135,0.0021616071061904755,0.052001385333499996,300
bootstrap_ci,param_only_ablation,safe_policy_sim_utility,0.057504038281281804,0.026612545775000003,0.09180059852157897,300
bootstrap_ci,random_feature_control,safe_policy_sim_utility,0.03158041464950006,0.016808157243333337,0.04694967084428571,300
bootstrap_ci,small_mlp_candidate_utility_if_available,safe_policy_sim_utility,0.022771905270700183,0.001195763949444443,0.050824361724,300
bootstrap_ci,small_mlp_context_to_param_if_available,safe_policy_sim_utility,0.03486019504566202,0.02282313501952381,0.051155897484500015,300
bootstrap_ci,source_blind_ablation,safe_policy_sim_utility,0.013057335017489697,-0.005659627090000001,0.03022310616761905,300
bootstrap_ci,two_head_utility_plus_risk_model,safe_policy_sim_utility,0.023159516881844228,0.00012971899999999933,0.049142875418947365,300
