target_rule,predicted_rule,selected_decision,count
None,additive_ltm,defer_ltm,11
None,decay_095,use_nonadditive,11
None,wait_light,use_nonadditive,1
block_heavy,additive_ltm,defer_ltm,91
block_heavy,block_heavy,use_nonadditive,25
block_heavy,commit_heavy,use_nonadditive,34
block_heavy,decay_095,use_nonadditive,11
block_heavy,wait_light,use_nonadditive,10
block_light,additive_ltm,defer_ltm,41
block_light,block_heavy,use_nonadditive,8
block_light,commit_heavy,use_nonadditive,4
block_light,decay_095,use_nonadditive,5
block_light,wait_light,use_nonadditive,7
commit_heavy,additive_ltm,defer_ltm,62
commit_heavy,block_heavy,use_nonadditive,18
commit_heavy,commit_heavy,use_nonadditive,67
commit_heavy,decay_090,use_nonadditive,2
commit_heavy,decay_095,use_nonadditive,8
commit_heavy,wait_light,use_nonadditive,10
decay_090,additive_ltm,defer_ltm,19
decay_090,block_heavy,use_nonadditive,9
decay_090,commit_heavy,use_nonadditive,12
decay_090,wait_light,use_nonadditive,5
decay_095,additive_ltm,defer_ltm,28
decay_095,block_heavy,use_nonadditive,11
decay_095,commit_heavy,use_nonadditive,13
decay_095,decay_095,use_nonadditive,5
decay_095,wait_light,use_nonadditive,12
wait_heavy,additive_ltm,defer_ltm,46
wait_heavy,block_heavy,use_nonadditive,16
wait_heavy,commit_heavy,use_nonadditive,27
wait_heavy,decay_090,use_nonadditive,1
wait_heavy,decay_095,use_nonadditive,4
wait_heavy,wait_light,use_nonadditive,10
wait_light,additive_ltm,defer_ltm,55
wait_light,block_heavy,use_nonadditive,21
wait_light,commit_heavy,use_nonadditive,15
wait_light,decay_090,use_nonadditive,3
wait_light,decay_095,use_nonadditive,9
wait_light,wait_light,use_nonadditive,15
