artifact,path,manifest_sha256,observed_sha256,sha256_verified,bytes,line_count,provenance_status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g523_raw_checkpoint,outputs/logs/phase5p5_repair5g523_full_primary_response_surface_probe/phase5p5_repair5g523_full_primary_response_surface_checkpoints.jsonl,17845d7e653e9fc9c5901516aa8341c7c5ec5d109f3057f5f1de3dfdd9f5d67d,42e0a4fb5a7f6a7efe87a07f0ea9cfa0b49835a44939e91e7d9d520530d890ae,False,290921650,309,sha_mismatch_unexplained,False,False,False,False,False
g524_budget_teacher,outputs/reports/phase5p5_repair5g524_budget_pair_teacher_tables_summary.json,,,,,,committed_derived_table_self_consistent,False,False,False,False,False
g524_trace_features,outputs/reports/phase5p5_repair5g524_trace_enriched_feature_matrix_summary.json,,,,,,committed_derived_table_self_consistent,False,False,False,False,False
