variant_id,variant_name,seed,steps,train_instances,validation_instances,validation_normalized_l1,model_path,uses_graph,uses_paired_od,uses_c0f0,critic_training_only,variant_elapsed_sec,training_source,model_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
F0,g560_scalar_actor_control,561,500,96,32,0.1362113654613495,artifacts/models/gcst/g561_f0_g560_scalar_actor_control_seed561.pt,False,False,False,False,2.584802678786218,new_primary_seed_training,229fa5978d09d0ead763d04a41228e83f0259f8e7a813b268fbf78884709cbc7,False,False,False,False,False
F1,scalar_conservative_actor,561,500,96,32,0.1332097202539444,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed561.pt,False,False,False,False,,existing_g561_training_summary_seed561,d4eb232ff4e0c25c5f2ca515ac13ef14fed2d6e312d932cb3f748766fc1da965,False,False,False,False,False
F4,graph_paired_od_actor,561,500,96,32,0.12727071344852448,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed561.pt,True,True,False,False,,existing_g561_training_summary_seed561,2152466711a1c8b6c859b7a8e4cd5c95f6b348ba9165fb19483f43db7e7ab0ab,False,False,False,False,False
F6,full_goal_aware_dual_channel_actor,561,500,96,32,0.12346022576093674,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed561.pt,True,True,True,False,,existing_g561_training_summary_seed561,363fb82549cf9b978c0261f5701f5d0b090bd375ffcc64c2f8cf0a1d1e77ee76,False,False,False,False,False
F7,full_goal_aware_actor_training_critic,561,500,96,32,0.11238349974155426,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed561.pt,True,True,True,True,,existing_g561_training_summary_seed561,90f45ac21b4d66dd73aebb037849fcfb7da7f6e8e157defb5582ce4145797a1d,False,False,False,False,False
F0,g560_scalar_actor_control,562,500,96,32,0.1327294409275055,artifacts/models/gcst/g561_f0_g560_scalar_actor_control_seed562.pt,False,False,False,False,1.2040411978960037,new_primary_seed_training,cef302107e84a8a6df6eeeed217d11140a32006b9910f103052c467f0afce4a7,False,False,False,False,False
F1,scalar_conservative_actor,562,500,96,32,0.1319846510887146,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed562.pt,False,False,False,False,1.264540022239089,new_primary_seed_training,674af5b4547fd82e202ae5335b5d50cf55ed07241dd15ee67e2f332506835858,False,False,False,False,False
F4,graph_paired_od_actor,562,500,96,32,0.13251034915447235,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed562.pt,True,True,False,False,404.8977263700217,new_primary_seed_training,45207cfb2235713ef0cf11d622c37a83160cf8df8a080f3e2baa463b857603e5,False,False,False,False,False
F6,full_goal_aware_dual_channel_actor,562,500,96,32,0.1319168508052826,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed562.pt,True,True,True,False,375.6755391759798,new_primary_seed_training,b15e2a67bb11a14c8035702d9d926d3df6e305eb6e3bf94f28d4e425a280374f,False,False,False,False,False
F7,full_goal_aware_actor_training_critic,562,500,96,32,0.12335693091154099,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed562.pt,True,True,True,True,369.32256247941405,new_primary_seed_training,3f45a982be171a206d4e5b974d64b9bb76063c01724a11a1dd095c67ec08d9fc,False,False,False,False,False
F0,g560_scalar_actor_control,563,500,96,32,0.13140204548835754,artifacts/models/gcst/g561_f0_g560_scalar_actor_control_seed563.pt,False,False,False,False,1.2137888995930552,new_primary_seed_training,4fd5ff842cacdbd128e6c357ac7986fd35154359421c1ee7f85146fc541672af,False,False,False,False,False
F1,scalar_conservative_actor,563,500,96,32,0.13071884214878082,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed563.pt,False,False,False,False,1.2086185608059168,new_primary_seed_training,844823b278e9106349e785b2a9804d3172a5dc7e0504d355796c1ed15c0d10a9,False,False,False,False,False
F4,graph_paired_od_actor,563,500,96,32,0.1309386044740677,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed563.pt,True,True,False,False,374.94982506800443,new_primary_seed_training,8bc10ac5213040e34f53c569c40fe9e6ebeab1ba78e4cc5dc82c7382544e4f8a,False,False,False,False,False
F6,full_goal_aware_dual_channel_actor,563,500,96,32,0.13090839982032776,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed563.pt,True,True,True,False,374.71386066358536,new_primary_seed_training,f1be1b17ac5658f628ca60e19ffa724b18f33699d36cb7511ccb0609bf8c8783,False,False,False,False,False
F7,full_goal_aware_actor_training_critic,563,500,96,32,0.12336886674165726,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed563.pt,True,True,True,True,367.76426081359386,new_primary_seed_training,39df5ae92127965c641b2e5a843cf5f60e3a4e6e7d5bdf7614e503112d1d4521,False,False,False,False,False
