candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,maze,2000,12,0,1,1,11,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,random,1000,29,0,0,0,24,0,5,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,random,2000,16,0,1,4,11,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,warehouse,2000,12,1,0,2,3,0,6,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,maze,2000,44,2,10,13,29,0,0,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,random,1000,54,7,0,0,44,0,3,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,random,2000,55,6,10,11,32,0,6,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,random,500,44,1,0,3,39,0,1,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,warehouse,2000,20,1,0,3,10,0,6,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,maze,1000,101,0,0,0,101,0,0,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,maze,2000,100,0,26,28,72,0,0,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,random,1000,120,7,0,0,99,1,13,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,random,2000,120,7,18,23,81,0,9,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,random,500,100,3,0,7,86,0,4,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,warehouse,1000,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,warehouse,2000,25,4,0,3,12,0,6,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,warehouse,500,35,0,0,0,0,0,35,0,0,False,False,False,False,False
