row_type,policy,model,sample_index,selected_policy_utility,candidate_induced_no_solution_count,safe_positive_selected_count,region_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,0,0.024277920767,27,0,0.126213592233,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,1,0.021049182227,33,0,0.128640776699,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,2,0.023808687621,25,0,0.160194174757,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,3,0.023129792052,23,0,0.114077669903,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,4,0.022706552327,31,0,0.177184466019,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,5,0.020664380502,37,0,0.121359223301,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,6,0.024877543232,30,0,0.157766990291,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,7,0.022500466816,32,0,0.097087378641,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,8,0.023769459227,30,0,0.152912621359,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,9,0.023302882095,25,0,0.150485436893,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,10,0.026447235135,28,0,0.121359223301,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,11,0.02177315696,31,0,0.138349514563,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,12,0.022139366943,29,0,0.111650485437,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,13,0.023085669442,27,0,0.126213592233,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,14,0.023015990131,26,0,0.145631067961,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,15,0.020894123634,22,0,0.145631067961,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,16,0.022614531483,38,0,0.138349514563,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,17,0.022650722805,30,0,0.135922330097,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,18,0.02263309423,25,0,0.133495145631,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,19,0.022338763778,29,0,0.155339805825,False,False,False,False,False
bootstrap,multinomial_action_class_logistic,multinomial_action_class_logistic,20,0.022523436931,25,0,0.135922330097,False,False,False,False,False
