map_family,edge_class,coverage_proxy_rows,coverage_source,supported_without_external_lacam2_change,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,corridor,1440,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
maze,junction,1440,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
maze,bottleneck,1440,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
maze,goal_progress,1440,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
maze,lateral,1440,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
maze,regress,1440,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
random,corridor,1560,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
random,junction,1560,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
random,bottleneck,1560,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
random,goal_progress,1560,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
random,lateral,1560,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
random,regress,1560,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
warehouse,corridor,1080,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
warehouse,junction,1080,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
warehouse,bottleneck,1080,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
warehouse,goal_progress,1080,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
warehouse,lateral,1080,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
warehouse,regress,1080,full_checkpoint_exporter_rank_and_trace_fields,True,False,False,False,False,False
