model,sample_id,top3_safe_oracle_capture_rate,region_top2_capture_rate,safe_policy_sim_utility,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g524_best_agent_density_reproduced,0,0.027777777777777776,0.3194444444444444,0.046249690870444456,False,False,False,False,False
g524_best_agent_density_reproduced,1,0.08333333333333333,0.4027777777777778,0.04640596295361703,False,False,False,False,False
g524_best_agent_density_reproduced,2,0.041666666666666664,0.4027777777777778,0.03523817789111112,False,False,False,False,False
g524_best_agent_density_reproduced,3,0.05555555555555555,0.3333333333333333,0.04040423319280701,False,False,False,False,False
g524_best_agent_density_reproduced,4,0.16666666666666666,0.4305555555555556,0.04948292467772728,False,False,False,False,False
g524_best_agent_density_reproduced,5,0.06944444444444445,0.3472222222222222,0.03635113231574468,False,False,False,False,False
g524_best_agent_density_reproduced,6,0.09722222222222222,0.4444444444444444,0.052142116666153836,False,False,False,False,False
g524_best_agent_density_reproduced,7,0.08333333333333333,0.3611111111111111,0.03271863600311112,False,False,False,False,False
g524_best_agent_density_reproduced,8,0.041666666666666664,0.3194444444444444,0.03481386223645833,False,False,False,False,False
g524_best_agent_density_reproduced,9,0.05555555555555555,0.3333333333333333,0.03634498669916667,False,False,False,False,False
g524_best_agent_density_reproduced,10,0.05555555555555555,0.3888888888888889,0.0394185962954717,False,False,False,False,False
g524_best_agent_density_reproduced,11,0.041666666666666664,0.3472222222222222,0.03735165629538461,False,False,False,False,False
g524_best_agent_density_reproduced,12,0.06944444444444445,0.3194444444444444,0.032546102706521744,False,False,False,False,False
g524_best_agent_density_reproduced,13,0.125,0.4166666666666667,0.030612303712244902,False,False,False,False,False
g524_best_agent_density_reproduced,14,0.041666666666666664,0.20833333333333334,0.04972282898239131,False,False,False,False,False
g524_best_agent_density_reproduced,15,0.09722222222222222,0.3333333333333333,0.04560449719382978,False,False,False,False,False
g524_best_agent_density_reproduced,16,0.06944444444444445,0.375,0.04257831993431372,False,False,False,False,False
g524_best_agent_density_reproduced,17,0.125,0.3888888888888889,0.03905282705647058,False,False,False,False,False
g524_best_agent_density_reproduced,18,0.027777777777777776,0.2777777777777778,0.04581045731687499,False,False,False,False,False
g524_best_agent_density_reproduced,19,0.041666666666666664,0.3611111111111111,0.04475577371755103,False,False,False,False,False
g524_best_agent_density_reproduced,20,0.08333333333333333,0.4305555555555556,0.04512595043682927,False,False,False,False,False
g524_best_agent_density_reproduced,21,0.08333333333333333,0.3055555555555556,0.05016456661609756,False,False,False,False,False
g524_best_agent_density_reproduced,22,0.05555555555555555,0.3611111111111111,0.04964838307469389,False,False,False,False,False
