candidate_id,theta_parameter,direction,current_value,candidate_value,planned_for_stage0b_field_smoke,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_onefactor_theta_alpha_cong_commit_progress_down,theta_alpha_cong_commit_progress,down,1.25,1.175,True,1.175,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_commit_progress_up,theta_alpha_cong_commit_progress,up,1.25,1.325,True,1.325,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_commit_nonprogress_down,theta_alpha_cong_commit_nonprogress,down,1.25,1.1875,True,1.25,1.1875,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_commit_nonprogress_up,theta_alpha_cong_commit_nonprogress,up,1.25,1.3125,True,1.25,1.3125,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_block_down,theta_alpha_cong_block,down,1.25,1.1625,True,1.25,1.25,1.1625,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_block_up,theta_alpha_cong_block,up,1.25,1.3375,True,1.25,1.25,1.3375,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_wait_progress_down,theta_alpha_cong_wait_progress,down,0.75,0.6875,True,1.25,1.25,1.25,0.6875,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_wait_progress_up,theta_alpha_cong_wait_progress,up,0.75,0.8125,True,1.25,1.25,1.25,0.8125,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_wait_nonprogress_down,theta_alpha_cong_wait_nonprogress,down,0.75,0.6625,True,1.25,1.25,1.25,0.75,0.6625,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_cong_wait_nonprogress_up,theta_alpha_cong_wait_nonprogress,up,0.75,0.8375,True,1.25,1.25,1.25,0.75,0.8375,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_flow_commit_progress_down,theta_alpha_flow_commit_progress,down,1,0.925,True,1.25,1.25,1.25,0.75,0.75,0.925,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_flow_commit_progress_up,theta_alpha_flow_commit_progress,up,1,1.075,True,1.25,1.25,1.25,0.75,0.75,1.075,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_alpha_flow_wait_progress_down,theta_alpha_flow_wait_progress,down,0,0,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
