row_type,model,risk_bucket_low,risk_bucket_high,contexts,mean_predicted_avoidable_risk,actual_avoidable_risk_rate,ece_abs_error,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
avoidable_risk_calibration_bucket,old14_plus_g518_no_new_baseline,0.0,0.05,21,0.0,0.0,0.0,False,False,False,False,False
avoidable_risk_calibration_bucket,old14_plus_g518_no_new_baseline,0.05,0.1,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,old14_plus_g518_no_new_baseline,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,old14_plus_g518_no_new_baseline,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,old14_plus_g518_no_new_baseline,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,pairwise_preference_ranker,0.0,0.05,19,0.014028812013210528,0.0,0.014028812013210528,False,False,False,False,False
avoidable_risk_calibration_bucket,pairwise_preference_ranker,0.05,0.1,2,0.0719216977025,0.0,0.0719216977025,False,False,False,False,False
avoidable_risk_calibration_bucket,pairwise_preference_ranker,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,pairwise_preference_ranker,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,pairwise_preference_ranker,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,param_only_ablation,0.0,0.05,17,0.019321403705411765,0.058823529411764705,0.03950212570635294,False,False,False,False,False
avoidable_risk_calibration_bucket,param_only_ablation,0.05,0.1,4,0.050534584841,0.0,0.050534584841,False,False,False,False,False
avoidable_risk_calibration_bucket,param_only_ablation,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,param_only_ablation,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,param_only_ablation,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,random_feature_control,0.0,0.05,19,0.02101119057468421,0.0,0.02101119057468421,False,False,False,False,False
avoidable_risk_calibration_bucket,random_feature_control,0.05,0.1,2,0.0561764305755,0.0,0.0561764305755,False,False,False,False,False
avoidable_risk_calibration_bucket,random_feature_control,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,random_feature_control,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,random_feature_control,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_candidate_utility_if_available,0.0,0.05,19,0.014028812013210528,0.0,0.014028812013210528,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_candidate_utility_if_available,0.05,0.1,2,0.0719216977025,0.0,0.0719216977025,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_candidate_utility_if_available,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_candidate_utility_if_available,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_candidate_utility_if_available,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_context_to_param_if_available,0.0,0.05,17,0.016016105987588236,0.0,0.016016105987588236,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_context_to_param_if_available,0.05,0.1,4,0.05555489330375,0.0,0.05555489330375,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_context_to_param_if_available,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_context_to_param_if_available,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,small_mlp_context_to_param_if_available,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,source_blind_ablation,0.0,0.05,21,0.015233893691666667,0.047619047619047616,0.03238515392738095,False,False,False,False,False
avoidable_risk_calibration_bucket,source_blind_ablation,0.05,0.1,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,source_blind_ablation,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,source_blind_ablation,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,source_blind_ablation,0.5,1.01,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,two_head_utility_plus_risk_model,0.0,0.05,19,0.014028812013210528,0.0,0.014028812013210528,False,False,False,False,False
avoidable_risk_calibration_bucket,two_head_utility_plus_risk_model,0.05,0.1,2,0.0719216977025,0.0,0.0719216977025,False,False,False,False,False
avoidable_risk_calibration_bucket,two_head_utility_plus_risk_model,0.1,0.2,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,two_head_utility_plus_risk_model,0.2,0.5,0,inf,inf,,False,False,False,False,False
avoidable_risk_calibration_bucket,two_head_utility_plus_risk_model,0.5,1.01,0,inf,inf,,False,False,False,False,False
