split,context_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
heldout_topology,5010,False,False,False,False,False
train,13627,False,False,False,False,False
validation,1363,False,False,False,False,False
