topology_id,map,map_family,source_map_family,topology_variant,generated_qd_diagnostic,width,height,free_cells,free_cell_ratio,obstacle_rate_proxy,heldout_topology,topology_split,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_topology_000_empty,empty-32-32,empty,empty,0,False,32,32,1024,1,0,True,heldout_topology,False,False,False,False,False
g557_topology_001_empty,empty-48-48,empty,empty,0,False,48,48,2304,1,0,True,heldout_topology,False,False,False,False,False
g557_topology_002_empty,empty-16-16,empty,empty,0,False,16,16,256,1,0,True,heldout_topology,False,False,False,False,False
g557_topology_003_random,random-32-32-20,random,random,0,False,32,32,819,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False
g557_topology_004_random,random-64-64-20,random,random,0,False,64,64,3276,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False
g557_topology_005_random,random-32-32-10,random,random,0,False,32,32,921,0.8994140625,0.1,True,heldout_topology,False,False,False,False,False
g557_topology_006_random,random-64-64-10,random,random,0,False,64,64,3686,0.89990234375,0.1,True,heldout_topology,False,False,False,False,False
g557_topology_007_maze,maze-32-32-4,maze,maze,0,False,32,32,737,0.7197265625,0.28,True,heldout_topology,False,False,False,False,False
g557_topology_008_maze,maze-32-32-2,maze,maze,0,False,32,32,819,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False
g557_topology_009_maze,maze-128-128-2,maze,maze,0,False,128,128,13107,0.799987792969,0.2,True,heldout_topology,False,False,False,False,False
g557_topology_010_maze,maze-128-128-10,maze,maze,0,False,128,128,9830,0.599975585938,0.4,True,heldout_topology,False,False,False,False,False
g557_topology_011_room,room-32-32-4,room,room,0,False,32,32,839,0.8193359375,0.18,True,heldout_topology,False,False,False,False,False
g557_topology_012_room,room-64-64-8,room,room,0,False,64,64,3358,0.81982421875,0.18,True,heldout_topology,False,False,False,False,False
g557_topology_013_room,room-64-64-16,room,room,0,False,64,64,3276,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False
g557_topology_014_warehouse,warehouse-10-20-10-2-1,warehouse,warehouse,0,False,170,84,9996,0.7,0.3,True,heldout_topology,False,False,False,False,False
g557_topology_015_warehouse,warehouse-10-20-10-2-2,warehouse,warehouse,0,False,170,84,9996,0.7,0.3,False,train_topology,False,False,False,False,False
g557_topology_016_warehouse,warehouse-20-40-10-2-1,warehouse,warehouse,0,False,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False
g557_topology_017_warehouse,warehouse-20-40-10-2-2,warehouse,warehouse,0,False,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False
g557_topology_018_bottleneck,connector,bottleneck,bottleneck,0,False,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False
g557_topology_019_bottleneck,corners,bottleneck,bottleneck,0,False,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False
g557_topology_020_bottleneck,tunnel,bottleneck,bottleneck,0,False,64,64,2539,0.619873046875,0.38,False,train_topology,False,False,False,False,False
g557_topology_021_bottleneck,loop-chain,bottleneck,bottleneck,0,False,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_022_bottleneck,string,bottleneck,bottleneck,0,False,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_023_bottleneck,tree,bottleneck,bottleneck,0,False,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_024_irregular,Berlin_1_256,irregular,irregular,0,False,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False
