stage,candidate_id,candidate_group,event_condition,edge_class,method,support_pairs,seed_block_support,context_support,vs_pareto_lattice_pairs,vs_pareto_lattice_success_regression_count,vs_pareto_lattice_success_gain_count,vs_pareto_lattice_both_fail_count,vs_pareto_lattice_quality_only_pairs,vs_pareto_lattice_quality_only_mean_delta,vs_pareto_lattice_quality_only_median_delta,vs_pareto_lattice_quality_ci_low,vs_pareto_lattice_quality_ci_high,vs_pareto_lattice_mean_corrected_delta,vs_pareto_lattice_better_count,vs_pareto_lattice_equal_count,vs_pareto_lattice_worse_count,vs_pareto_lattice_safe_high_margin_count,vs_pareto_lattice_safe_low_margin_count,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,vs_additive_pairs,vs_additive_success_regression_count,vs_additive_success_gain_count,vs_additive_both_fail_count,vs_additive_quality_only_pairs,vs_additive_quality_only_mean_delta,vs_additive_quality_only_median_delta,vs_additive_quality_ci_low,vs_additive_quality_ci_high,vs_additive_mean_corrected_delta,vs_additive_better_count,vs_additive_equal_count,vs_additive_worse_count,vs_additive_safe_high_margin_count,vs_additive_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status
refinement,repair5g543_refine_021,,,,,240,3,240,240,0,0,120,120,0.00260519608331,0,0.00260519608331,0.00260519608331,0.00130259804165,3,100,17,3,0,240,0,0,120,120,0.00260519608331,0,0.00260519608331,0.00260519608331,0.00130259804165,3,100,17,3,0,240,0,0,120,120,0.00593382054248,0,0.00593382054248,0.00593382054248,0.00296691027124,4,93,23,4,1,240,0,0,120,120,-0.00101080284098,0,-0.00101080284098,-0.00101080284098,-0.000505401420492,6,114,0,6,2,False,False,False,False,False,boundary_or_quality_weak
refinement,repair5g543_refine_022,,,,,280,3,280,280,2,2,123,153,0.00205080327083,0,0.00205080327083,0.00205080327083,0.00112061750156,3,132,18,5,0,280,2,2,123,153,0.00205080327083,0,0.00205080327083,0.00205080327083,0.00112061750156,3,132,18,5,0,280,3,1,122,154,0.00463121971128,0,0.00463121971128,0.00463121971128,0.00433288512692,5,125,24,6,1,280,3,1,122,154,-0.000780175132974,0,-0.000780175132974,-0.000780175132974,0.00135661796258,7,146,1,8,1,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_023,,,,,280,3,280,280,2,2,123,153,0.00407137201732,0,0.00407137201732,0.00407137201732,0.00222471399518,6,113,34,8,2,280,2,2,123,153,0.00407137201732,0,0.00407137201732,0.00407137201732,0.00222471399518,6,113,34,8,2,280,3,1,122,154,0.0092324012263,0,0.0092324012263,0.0092324012263,0.00686353496018,8,98,48,9,0,280,3,1,122,154,-0.00167830560558,0,-0.00167830560558,-0.00167830560558,0.000862646202643,12,142,0,13,2,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_024,,,,,240,3,240,240,2,3,82,153,0.00408658209146,0,0.00408658209146,0.00408658209146,0.00156352941664,6,113,34,9,0,240,2,3,82,153,0.00408658209146,0,0.00408658209146,0.00408658209146,0.00156352941664,6,113,34,9,0,240,3,2,81,154,0.00924751253373,0,0.00924751253373,0.00924751253373,0.00697548720914,8,100,46,10,2,240,3,2,81,154,-0.00166319429816,0,-0.00166319429816,-0.00166319429816,-2.554967465e-05,12,142,0,14,4,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_027,,,,,320,3,320,320,2,3,122,193,0.00601769830382,0,0.00601769830382,0.00601769830382,0.00284817428949,5,148,40,8,0,320,2,3,122,193,0.00601769830382,0,0.00601769830382,0.00601769830382,0.00284817428949,5,148,40,8,0,320,3,2,121,194,0.00820310193457,0,0.00820310193457,0.00820310193457,0.00575438054783,6,140,48,8,2,320,3,2,121,194,-0.00362143275169,0,-0.00362143275169,-0.00362143275169,-0.00141424360571,20,174,0,22,3,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_026,,,,,320,3,320,320,2,3,122,193,0.00653073985883,0,0.00653073985883,0.00653073985883,0.00315760247736,5,148,40,8,2,320,2,3,122,193,0.00653073985883,0,0.00653073985883,0.00653073985883,0.00315760247736,5,148,40,8,2,320,3,2,121,194,0.00871349894549,0,0.00871349894549,0.00871349894549,0.0060638087357,5,139,50,7,1,320,3,2,121,194,-0.00311103574077,0,-0.00311103574077,-0.00311103574077,-0.00110481541784,17,177,0,19,4,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_028,,,,,320,3,320,320,2,4,121,193,0.00653963473398,0,0.00653963473398,0.00653963473398,0.00238171719893,2,148,43,6,2,320,2,4,121,193,0.00653963473398,0,0.00653963473398,0.00653963473398,0.00238171719893,2,148,43,6,2,320,3,3,120,194,0.00872234797077,0,0.00872234797077,0.00872234797077,0.00528792345728,4,138,52,7,1,320,3,3,120,194,-0.00310218671549,0,-0.00310218671549,-0.00310218671549,-0.00188070069627,15,179,0,18,6,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_025,,,,,280,3,280,280,2,3,122,153,0.00736809010031,0,0.00736809010031,0.00736809010031,0.00313327780481,3,108,42,6,1,280,2,3,122,153,0.00736809010031,0,0.00736809010031,0.00736809010031,0.00313327780481,3,108,42,6,1,280,3,2,121,154,0.0101123622599,0,0.0101123622599,0.0101123622599,0.00645465638578,6,98,50,8,1,280,3,2,121,154,-0.00478348013713,0,-0.00478348013713,-0.00478348013713,-0.00173805693256,21,132,1,23,1,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_009,,,,,440,3,440,440,3,6,124,307,0.00617956205058,0,0.00617956205058,0.00617956205058,0.00260710352165,8,238,61,14,4,440,3,6,124,307,0.00617956205058,0,0.00617956205058,0.00617956205058,0.00260710352165,8,238,61,14,4,440,1,5,126,308,0.00478178553379,0,0.00478178553379,0.00478178553379,0.00107452260093,14,228,66,19,1,440,5,8,122,305,-0.00380508289268,0,-0.00380508289268,-0.00380508289268,-0.00434215973242,38,264,3,46,1,False,False,False,False,False,unsafe_success_regression
refinement,repair5g543_refine_029,,,,,280,3,280,280,3,4,81,192,0.00668828561397,0,0.00668828561397,0.00668828561397,0.00369339584958,4,147,41,8,1,280,3,4,81,192,0.00668828561397,0,0.00668828561397,0.00668828561397,0.00369339584958,4,147,41,8,1,280,4,3,80,193,0.00888153803395,0,0.00888153803395,0.00888153803395,0.00701477443055,4,139,50,7,2,280,4,3,80,193,-0.00300426367141,0,-0.00300426367141,-0.00300426367141,-0.00117793888779,17,174,2,20,3,False,False,False,False,False,unsafe_success_regression
