split,map_name,agents,sample_count,use_nonadditive_target_count,top1,top3,decision_accuracy,high_margin_opportunity_count,high_margin_capture_rate,global_additive_or_defer_rate
validation,empty-48-48,50,60,27,0.48148148148148145,0.9629629629629629,0.5666666666666667,12,0.75,0.31666666666666665
validation,empty-48-48,100,60,35,0.5142857142857142,0.8571428571428571,0.6333333333333333,18,0.7222222222222222,0.31666666666666665
validation,empty-48-48,200,60,29,0.1724137931034483,0.7931034482758621,0.65,8,0.625,0.6333333333333333
validation,empty-48-48,400,60,39,0.41025641025641024,0.7435897435897436,0.6833333333333333,10,0.8,0.23333333333333334
validation,maze-32-32-4,50,60,46,0.10869565217391304,0.5,0.5333333333333333,31,0.3548387096774194,0.3333333333333333
validation,maze-32-32-4,100,60,43,0.023255813953488372,0.6046511627906976,0.65,34,0.17647058823529413,0.4666666666666667
validation,maze-32-32-4,200,60,48,0.020833333333333332,0.4583333333333333,0.48333333333333334,46,0.06521739130434782,0.6166666666666667
validation,maze-32-32-4,400,39,26,0.07692307692307693,0.34615384615384615,0.5384615384615384,26,0.2692307692307692,0.28205128205128205
