ablation,dev_accuracy,dev_rows,feature_count,train_rows
all_v2,,0,64,2
no_map_agent_identity,,0,57,2
traffic_only,,0,22,2
event_only,,0,21,2
runtime_state_only,,0,6,2
without_static_boundary_proxy,,0,63,2
