agents,classification,has_solver_row,makespan,map,method,returncode,runtime_ms,seed,source,stderr_tail,stdout_tail,success,sum_of_loss,sum_of_loss_ratio
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,lacam_star_ltm,2,3140.1624,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,always_additive_defer,2,3135.601,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,2,3139.6187,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_disable,2,3121.717,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_force_additive_direct,2,3167.7833,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,2,3115.6315,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,2,3146.7203,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5f_static_c100_b100_w075_d090,2,3208.4856,66,g3_broader,,phase1a_batch method=lacam_star_lau_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,2,3226.549,66,g3_broader,,phase1a_batch method=lacam_star_lau_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d095,2,3128.3759,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d100,2,3139.4497,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,2,3141.0561,67,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,2,3168.6837,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,2,3211.0887,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,2,3256.4888,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,2,3276.2383,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,2,3305.5315,66,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=66 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_disable,2,3119.3164,67,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_force_additive_direct,2,3182.7614,67,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5f_static_c100_b100_w075_d090,2,3192.4634,67,g3_broader,,phase1a_batch method=lacam_star_lau_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,2,3231.2232,67,g3_broader,,phase1a_batch method=lacam_star_lau_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d100,2,3133.9544,67,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,2,3288.7002,67,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=67 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_disable,2,3121.6014,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_force_additive_direct,2,3125.3563,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,2,3143.5646,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,2,3131.6744,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d095,2,3115.986,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d100,2,3126.878,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,2,3301.0476,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,2,3285.9041,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,2,3287.1717,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,2,3289.0673,68,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=68 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_disable,2,3131.8086,69,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=69 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,laur_force_additive_direct,2,3136.323,69,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=69 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d095,2,3130.3566,69,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=69 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d100,2,3126.3302,69,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=69 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,2,3335.6436,69,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=69 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,lacam_star_ltm,2,3197.3839,70,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=70 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
100,returncode2_no_solution_equivalent,True,,warehouse-10-20-10-2-1,always_additive_defer,2,3122.2657,70,g3_broader,,phase1a_batch method=lacam_star_ltm map=warehouse-10-20-10-2-1 agents=100 seed=70 success=0 feasible=0 sum_of_loss=0 lower_bound=0,False,,
