theta_parameter,mean,min,max,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,1.25,1.25,1.25,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,1.22110317584,0.50001499997,1.74982250035,False,False,False,False,False
theta_alpha_cong_block,1.25,1.25,1.25,False,False,False,False,False
theta_alpha_cong_wait_progress,0.75,0.75,0.75,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,0.75,0.75,0.75,False,False,False,False,False
theta_alpha_flow_commit_progress,1,1,1,False,False,False,False,False
theta_alpha_flow_wait_progress,0.921627957525,0.00483749032502,1.25,False,False,False,False,False
theta_rho_cong_decay,0.95,0.95,0.95,False,False,False,False,False
theta_rho_flow_decay,1,1,1,False,False,False,False,False
theta_lambda_cong,1.01097252741,0.503532992934,1.49944000112,False,False,False,False,False
theta_lambda_flow,0.813061160191,0.000280499439001,1.49494351011,False,False,False,False,False
theta_flow_shield_beta,0.358012700199,0.201691996616,0.699793000414,False,False,False,False,False
theta_max_flow_shield,0.760312611671,0.508592732815,1.24597475805,False,False,False,False,False
theta_min_edge_cost,0.914469875157,0.254583240834,1,False,False,False,False,False
theta_max_edge_cost,10.7999833926,8.02321595357,11.9956280087,False,False,False,False,False
theta_goal_projection_mode_flow_shield,0.833299319728,0,1,False,False,False,False,False
theta_goal_projection_mode_agent_progress,0.0334013605442,0,1,False,False,False,False,False
theta_goal_projection_mode_none,0.133299319728,0,1,False,False,False,False,False
