theta_id,theta_family,support_strata,safe_positive_support,hard_negative_support,hard_negative_regression_count_vs_static_flow,hard_negative_regression_count_vs_additive,fingerprint_match_rate,support_distance_threshold,utility_mean,utility_CI,forbidden_reason,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_in_safe_library
repair5g550_theta_550000004,safe_expert_mixture_with_abstention,4,83,0,0,0,1,0.05,0.0207538169656,compact_audit_not_claim,,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000005,safe_expert_mixture_with_abstention,4,123,0,0,0,1,0.05,0.0334400141895,compact_audit_not_claim,,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000006,safe_expert_mixture_with_abstention,4,124,0,0,0,1,0.05,0.0389754164675,compact_audit_not_claim,,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000023,safe_expert_mixture_with_abstention,4,114,0,0,0,1,0.05,0.0391730029171,compact_audit_not_claim,,1.25,1.04356719338,1.25,0.75,0.75,1,1.11,0.95,1,0.933137841931,1.19,0.378,0.915,0.95,12,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000024,safe_expert_mixture_with_abstention,4,76,0,0,0,1,0.05,0.0251389468978,compact_audit_not_claim,,1.25,1.06625343672,1.25,0.75,0.75,1,0.96,0.95,1,0.94306484025,1.1,0.392,0.72,0.92,8.8,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000030,safe_expert_mixture_with_abstention,4,67,0,0,0,1,0.05,0.0241521199664,compact_audit_not_claim,,1.25,0.998194706714,1.25,0.75,0.75,1,1.2,0.95,1,1.09196981503,1.12,0.28,0.8325,1,12,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000044,safe_expert_mixture_with_abstention,4,87,0,0,0,1,0.05,0.0279998339612,compact_audit_not_claim,,1.25,1.4625,1.25,0.75,0.75,1,0.486897470429,0.95,1,1.18,0.807437852538,0.42,0.8475,1,12,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000050,safe_expert_mixture_with_abstention,5,119,0,0,0,1,0.05,0.0364826139007,compact_audit_not_claim,,1.25,1.525,1.25,0.75,0.75,1,0.47502192237,0.95,1,0.89,0.715159240819,0.308,0.8925,1,9.46,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000062,safe_expert_mixture_with_abstention,5,128,0,0,0,1,0.05,0.0402133129103,compact_audit_not_claim,,1.25,1.4875,1.25,0.75,0.75,1,0.700657335496,0.95,1,0.78,0.884336695637,0.4095,0.87,0.93,10.34,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000063,safe_expert_mixture_with_abstention,5,90,0,0,0,1,0.05,0.0251052129621,compact_audit_not_claim,,1.25,1.0625,1.25,0.75,0.75,1,0.46908414834,0.95,1,0.85,0.622880629101,0.3675,0.72,1,10.45,1,0,0,False,False,False,False,False,True
