candidate_family,global_fixed_vector,context_dependent,dynamic_policy,allowed_for_promotion,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
hand_static_reference,True,False,False,True,False,False,False,False,False
legacy_helper_reference,True,False,False,True,False,False,False,False,False
hand_legacy_midpoints,True,False,False,True,False,False,False,False,False
one_factor_small_perturbation,True,False,False,True,False,False,False,False,False
two_factor_interaction,True,False,False,True,False,False,False,False,False
trust_region_sobol_around_hand,True,False,False,True,False,False,False,False,False
trust_region_sobol_around_nearmiss,True,False,False,True,False,False,False,False,False
cma_es_style_offline_candidates,True,False,False,True,False,False,False,False,False
cross_entropy_elite_refits,True,False,False,True,False,False,False,False,False
coordinate_descent_lines,True,False,False,True,False,False,False,False,False
flow_wait_progress_micro_sweep,True,False,False,True,False,False,False,False,False
lambda_cong_micro_sweep,True,False,False,True,False,False,False,False,False
flow_shield_beta_cap_sweep,True,False,False,True,False,False,False,False,False
cost_clamp_micro_sweep,True,False,False,True,False,False,False,False,False
rho_decay_micro_sweep,True,False,False,True,False,False,False,False,False
shrinkage_to_hand_from_risky,True,False,False,True,False,False,False,False,False
negative_controls_wide_random,True,False,False,False,False,False,False,False,False
