candidate_id,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,vs_best_fixed_pairs,vs_best_fixed_success_regression_count,vs_best_fixed_success_gain_count,vs_best_fixed_both_fail_count,vs_best_fixed_quality_only_pairs,vs_best_fixed_quality_only_mean_delta,vs_best_fixed_quality_only_median_delta,vs_best_fixed_quality_ci_low,vs_best_fixed_quality_ci_high,vs_best_fixed_mean_corrected_delta,vs_best_fixed_better_count,vs_best_fixed_equal_count,vs_best_fixed_worse_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count
repair5g538_random_bridge_c_light,397,0,2,137,258,-0.000544132968039,0,-0.000544132968039,-0.000544132968039,-0.00161306374245,16,233,9,False,False,False,False,False,397,0,3,137,257,-0.000675003178218,0,-0.000675003178218,-0.000675003178218,-0.0023261355587,15,229,13,397,0,2,137,258,-0.000469535489186,0,-0.000469535489186,-0.000469535489186,-0.00156458477635,16,230,12
repair5g538_random_bridge_low_beta,399,0,2,139,258,0.00118991609191,0,0.00118991609191,0.00118991609191,-0.000483713404231,8,235,15,False,False,False,False,False,399,0,3,139,257,0.000929954916202,0,0.000929954916202,0.000929954916202,-0.00128070573067,9,228,20,398,0,2,138,258,0.00126451357076,0,0.00126451357076,0.00126451357076,-0.000436571604884,10,232,16
repair5g538_maze_bridge_decay_beta025,395,1,2,135,257,-0.000507703458117,0,-0.000507703458117,-0.000507703458117,-0.000963239971484,14,235,8,False,False,False,False,False,395,1,3,135,256,-0.000450514032398,0,-0.000450514032398,-0.000450514032398,-0.00155780149948,9,233,14,394,1,2,134,257,-0.000170379751097,0,-0.000170379751097,-0.000170379751097,-0.000745653797036,15,230,12
repair5g538_wait_damped_w035,397,2,2,137,256,-0.000628554925234,0,-0.000628554925234,-0.000628554925234,-0.000405315014761,16,231,9,False,False,False,False,False,397,2,3,137,255,-0.00076978945309,0,-0.00076978945309,-0.00076978945309,-0.00112417206685,14,230,11,396,2,2,136,256,-0.000553374653578,0,-0.000553374653578,-0.000553374653578,-0.000357737149788,17,231,8
repair5g538_random_bridge_b_light,396,2,2,136,256,-0.000236016348344,0,-0.000236016348344,-0.000236016348344,-0.000152576225192,9,239,8,False,False,False,False,False,396,2,3,136,255,-0.000509012418055,0,-0.000509012418055,-0.000509012418055,-0.000959086279303,13,227,15,396,2,2,136,256,-0.000160836076687,0,-0.000160836076687,-0.000160836076687,-0.000103974837455,12,227,17
repair5g538_low_beta_b030_cap075,397,2,2,137,256,-8.19659503125e-05,0,-8.19659503125e-05,-8.19659503125e-05,-5.28546178338e-05,14,233,9,False,False,False,False,False,398,2,3,138,255,-0.000150803810345,0,-0.000150803810345,-0.000150803810345,-0.000724761235271,11,235,9,397,2,2,137,256,-6.78567865625e-06,0,-6.78567865625e-06,-6.78567865625e-06,-4.37565172796e-06,14,231,11
repair5g538_maze_bridge_block_decay,397,2,2,137,256,0.00033534555568,0,0.00033534555568,0.00033534555568,0.00021624297797,12,232,12,False,False,False,False,False,397,2,3,137,255,0.00013664466618,0,0.00013664466618,0.00013664466618,-0.000541953677894,11,228,16,396,2,2,136,256,0.000410525827336,0,0.000410525827336,0.000410525827336,0.000265390433833,10,232,14
repair5g538_low_beta_b015_cap040,398,2,2,138,256,0.00328458313456,0,0.00328458313456,0.00328458313456,0.00211269668957,1,234,21,False,False,False,False,False,398,1,2,139,256,0.00309075566207,0,0.00309075566207,0.00309075566207,0.00135988303892,2,231,23,397,2,2,137,256,0.00345276344204,0,0.00345276344204,0.00345276344204,0.0022264671062,2,234,20
repair5g538_maze_bridge_decay_beta020,397,3,2,137,255,0.000465360241525,0,0.000465360241525,0.000465360241525,0.000928631893171,10,235,10,False,False,False,False,False,397,3,3,137,254,0.000355027653705,0,0.000355027653705,0.000355027653705,0.000227146156275,6,234,14,396,3,2,136,255,0.000805329624678,0,0.000805329624678,0.000805329624678,0.00114989660175,10,229,16
repair5g538_flow_decay_df090,397,4,2,137,254,0,0,0,0,0.00125944584383,0,254,0,False,False,False,False,False,398,4,3,138,253,-0.000363185849834,0,-0.000363185849834,-0.000363185849834,0.000397271306513,9,225,19,397,4,2,137,254,7.57722422992e-05,0,7.57722422992e-05,7.57722422992e-05,0.00130792480993,10,230,14
