row_type,policy,model,eval_scope,fold_id,context_budget_pairs,selected_policy_utility,safe_policy_sim_utility,candidate_induced_no_solution_count,budget_sensitive_failure_count,safe_positive_selected_count,static_recovery_capture_count,fallback_rate,top1_safe_oracle_capture_rate,top3_safe_oracle_capture_rate,top5_safe_oracle_capture_rate,region_top1_capture_rate,region_top2_capture_rate,action_class_accuracy,selected_candidate_match_rate,region_match_rate,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_002,120,0.041153182651,0.041153182651,8,7,3,0,0.0,0.0,0.125,0.141666666667,0.0,0.333333333333,0.375,0.075,0.075,0.512173261082,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_003,120,0.036133208261,0.036133208261,6,3,5,0,0.0,0.0,0.083333333333,0.125,0.0,0.316666666667,0.333333333333,0.108333333333,0.108333333333,0.52900068176,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_004,120,0.037996094052,0.037996094052,4,6,5,0,0.0,0.0,0.1,0.175,0.0,0.441666666667,0.35,0.05,0.066666666667,0.544661256659,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_005,120,0.040766937491,0.040766937491,6,2,6,0,0.0,0.0,0.108333333333,0.15,0.0,0.358333333333,0.433333333333,0.1,0.125,0.526955073721,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_006,120,0.037844789765,0.037844789765,7,3,2,0,0.0,0.0,0.083333333333,0.133333333333,0.0,0.383333333333,0.316666666667,0.058333333333,0.066666666667,0.520019742205,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_007,120,0.032091104206,0.032091104206,7,3,4,0,0.0,0.0,0.108333333333,0.166666666667,0.0,0.383333333333,0.4,0.066666666667,0.083333333333,0.519213932616,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_008,120,0.036595203552,0.036595203552,7,4,10,0,0.0,0.0,0.158333333333,0.266666666667,0.0,0.416666666667,0.333333333333,0.075,0.075,0.521138615453,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_009,120,0.030738012425,0.030738012425,9,6,8,0,0.0,0.0,0.091666666667,0.175,0.0,0.341666666667,0.433333333333,0.05,0.05,0.5038478409,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_010,120,0.044020858522,0.044020858522,8,6,4,0,0.0,0.0,0.108333333333,0.125,0.0,0.391666666667,0.358333333333,0.058333333333,0.075,0.510965207611,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_011,120,0.041192914696,0.041192914696,8,4,7,0,0.0,0.0,0.116666666667,0.175,0.0,0.366666666667,0.341666666667,0.058333333333,0.075,0.511252256473,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_012,120,0.048854223038,0.048854223038,7,5,3,0,0.0,0.0,0.066666666667,0.108333333333,0.0,0.341666666667,0.375,0.075,0.091666666667,0.51910819057,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_013,120,0.035126628753,0.035126628753,8,4,8,0,0.0,0.0,0.091666666667,0.183333333333,0.0,0.366666666667,0.375,0.108333333333,0.141666666667,0.509828495488,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_014,120,0.039236189132,0.039236189132,6,5,6,0,0.0,0.0,0.091666666667,0.15,0.0,0.366666666667,0.391666666667,0.066666666667,0.083333333333,0.527786505608,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_015,120,0.043471267948,0.043471267948,4,5,2,0,0.0,0.0,0.1,0.141666666667,0.0,0.3,0.391666666667,0.075,0.083333333333,0.544682201994,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_016,120,0.041680526562,0.041680526562,9,6,2,0,0.0,0.0,0.066666666667,0.1,0.0,0.275,0.358333333333,0.058333333333,0.058333333333,0.503441276923,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_017,120,0.033520536807,0.033520536807,12,5,11,0,0.0,0.0,0.091666666667,0.175,0.0,0.341666666667,0.466666666667,0.116666666667,0.125,0.478058904314,False,False,False,False,False
