split,contexts,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
heldout_topology,57,False,False,False,False,False
train,123,False,False,False,False,False
validation,12,False,False,False,False,False
