candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g550_theta_550000004,maze,100,2000,generated_theta_targeted_short2000_t050_i2,15,0,2,-0.022862563485,2,0,False,False,False,False,False
repair5g550_theta_550000004,maze,100,2000,generated_theta_targeted_short2000_t100_i2,15,0,15,-0.00616584021067,10,5,False,False,False,False,False
repair5g550_theta_550000004,maze,100,2000,generated_theta_targeted_short5000_t050_i2,15,0,6,-0.00628809576167,2,4,False,False,False,False,False
repair5g550_theta_550000004,maze,100,2000,generated_theta_targeted_short5000_t100_i2,6,0,5,0.019914972426,1,4,False,False,False,False,False
repair5g550_theta_550000004,maze,50,2000,generated_theta_targeted_short2000_t050_i2,4,0,4,0.00909927134525,1,3,False,False,False,False,False
repair5g550_theta_550000004,maze,50,2000,generated_theta_targeted_short2000_t100_i2,15,0,15,0.00375987016867,9,6,False,False,False,False,False
repair5g550_theta_550000004,maze,50,2000,generated_theta_targeted_short5000_t050_i2,15,0,14,-0.00605610668571,8,6,False,False,False,False,False
repair5g550_theta_550000004,maze,50,2000,generated_theta_targeted_short5000_t100_i2,15,0,15,0.00190675336267,9,6,False,False,False,False,False
repair5g550_theta_550000004,random,100,2000,generated_theta_targeted_short2000_t050_i2,12,0,6,0.0302860261902,0,6,False,False,False,False,False
repair5g550_theta_550000004,random,100,2000,generated_theta_targeted_short2000_t100_i2,15,0,11,-0.00672145051609,9,2,False,False,False,False,False
repair5g550_theta_550000004,random,100,2000,generated_theta_targeted_short5000_t050_i2,15,0,5,0.01261035448,3,2,False,False,False,False,False
repair5g550_theta_550000004,random,100,2000,generated_theta_targeted_short5000_t100_i2,15,0,15,-0.0173699716753,10,5,False,False,False,False,False
repair5g550_theta_550000004,random,50,2000,generated_theta_targeted_short2000_t050_i2,15,0,14,-0.00442030040071,7,6,False,False,False,False,False
repair5g550_theta_550000004,random,50,2000,generated_theta_targeted_short2000_t100_i2,15,0,14,0.00254040445286,7,7,False,False,False,False,False
repair5g550_theta_550000004,random,50,2000,generated_theta_targeted_short5000_t050_i2,13,0,13,0.00247155341538,6,7,False,False,False,False,False
repair5g550_theta_550000005,maze,100,2000,generated_theta_targeted_short2000_t050_i2,15,0,3,-0.04472087083,3,0,False,False,False,False,False
repair5g550_theta_550000005,maze,100,2000,generated_theta_targeted_short2000_t100_i2,15,0,14,-0.0299365750664,11,3,False,False,False,False,False
repair5g550_theta_550000005,maze,100,2000,generated_theta_targeted_short5000_t050_i2,15,0,5,-0.00810743943,3,2,False,False,False,False,False
repair5g550_theta_550000005,maze,100,2000,generated_theta_targeted_short5000_t100_i2,7,0,6,-0.0274224154217,6,0,False,False,False,False,False
