path,exists,rows,bytes,sha256_if_compact,commit_policy,exact_resume_command,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
/root/shared-nvme/czr004_g556_remote_artifacts/parquet/surrogate_rows.csv,True,968362,759611804,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,python scripts/create_repair5g556_surrogate_dataset.py,False,False,False,False,False
/root/shared-nvme/czr004_g556_remote_artifacts/parquet/candidate_context_pairs.csv,True,5000,643039,2341d66cea4aa3fd46f9409fca12eb90c08f4f964525fd58834ca56e581b1439,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,,False,False,False,False,False
/root/shared-nvme/czr004_g556_remote_artifacts/parquet/candidate_sets.csv,True,11607,978021,d9f3919c8b30fb6a14e1904a3c7d9695b4b39ec9dfd7180e3cd797e3b20afc86,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,,False,False,False,False,False
/root/shared-nvme/czr004_g556_remote_artifacts/raw/surrogate_candidate_registry.csv,True,100001,41521248,8b939fe23c04e039b2f84a62bff6831e239c1ec84244cd44b6a09a799262c355,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,python scripts/generate_repair5g556_surrogate_candidates.py --candidate-count 100000 --selected-count 3000,False,False,False,False,False
outputs/logs/phase5p5_repair5g556_stage1_solver_screen/stage1_solver_screen_plan.csv,True,304500,158290882,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,,False,False,False,False,False
outputs/logs/phase5p5_repair5g556_stage1_solver_screen/stage1_solver_screen_results.csv,True,304500,483123914,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,python scripts/run_repair5g556_stage1_solver_screen.py --row-limit 300000 --max-workers 24,False,False,False,False,False
outputs/logs/phase5p5_repair5g556_stage2_elite_validation/stage2_elite_validation_plan.csv,True,430000,221949840,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,,False,False,False,False,False
outputs/logs/phase5p5_repair5g556_stage2_elite_validation/stage2_elite_validation_results.csv,True,430000,678603812,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,python scripts/run_repair5g556_stage2_elite_validation.py --row-limit 240000 --max-workers 24,False,False,False,False,False
outputs/logs/phase5p5_repair5g556_blind/blind_plan.csv,True,360000,172959175,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,,False,False,False,False,False
outputs/logs/phase5p5_repair5g556_blind/blind_results.csv,True,360000,528643103,,do_not_commit_raw_outputs_or_large_shared_nvme_artifacts,python scripts/run_repair5g556_blind_if_warranted.py --row-limit 240000 --max-workers 24,False,False,False,False,False
