topology_id,label,contexts,nonfallback_contexts,fallback_to_g556_contexts,fallback_to_g556_rate,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,quality_delta_ci_upper_vs_g556_c063174,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,materialized_safe_contexts,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
,,673,0,673,1,0,0,673,0,0,0,0,673,False,False,False,False,False
g557_topology_004_random,g557_topology_004_random,28,0,28,1,0,0,28,0,0,0,0,28,False,False,False,False,False
g557_topology_006_random,g557_topology_006_random,48,0,48,1,0,0,48,0,0,0,0,48,False,False,False,False,False
g557_topology_009_maze,g557_topology_009_maze,124,0,124,1,0,0,124,0,0,0,0,124,False,False,False,False,False
g557_topology_010_maze,g557_topology_010_maze,159,0,159,1,0,0,159,0,0,0,0,159,False,False,False,False,False
g557_topology_012_room,g557_topology_012_room,31,0,31,1,0,0,31,0,0,0,0,31,False,False,False,False,False
g557_topology_013_room,g557_topology_013_room,29,0,29,1,0,0,29,0,0,0,0,29,False,False,False,False,False
g557_topology_014_warehouse,g557_topology_014_warehouse,70,0,70,1,0,0,70,0,0,0,0,70,False,False,False,False,False
g557_topology_015_warehouse,g557_topology_015_warehouse,15,0,15,1,0,0,15,0,0,0,0,15,False,False,False,False,False
g557_topology_016_warehouse,g557_topology_016_warehouse,13,0,13,1,0,0,13,0,0,0,0,13,False,False,False,False,False
g557_topology_017_warehouse,g557_topology_017_warehouse,21,0,21,1,0,0,21,0,0,0,0,21,False,False,False,False,False
g557_topology_024_irregular,g557_topology_024_irregular,23,0,23,1,0,0,23,0,0,0,0,23,False,False,False,False,False
g557_topology_025_irregular,g557_topology_025_irregular,21,0,21,1,0,0,21,0,0,0,0,21,False,False,False,False,False
g557_topology_026_irregular,g557_topology_026_irregular,22,0,22,1,0,0,22,0,0,0,0,22,False,False,False,False,False
g557_topology_027_irregular,g557_topology_027_irregular,22,0,22,1,0,0,22,0,0,0,0,22,False,False,False,False,False
g557_topology_029_irregular,g557_topology_029_irregular,21,0,21,1,0,0,21,0,0,0,0,21,False,False,False,False,False
g557_topology_030_irregular,g557_topology_030_irregular,18,0,18,1,0,0,18,0,0,0,0,18,False,False,False,False,False
g557_topology_031_irregular,g557_topology_031_irregular,23,0,23,1,0,0,23,0,0,0,0,23,False,False,False,False,False
g557_topology_032_irregular,g557_topology_032_irregular,12,0,12,1,0,0,12,0,0,0,0,12,False,False,False,False,False
g557_topology_033_irregular,g557_topology_033_irregular,23,0,23,1,0,0,23,0,0,0,0,23,False,False,False,False,False
g557_topology_038_qd_random,g557_topology_038_qd_random,1,0,1,1,0,0,1,0,0,0,0,1,False,False,False,False,False
g557_topology_043_qd_maze,g557_topology_043_qd_maze,6,0,6,1,0,0,6,0,0,0,0,6,False,False,False,False,False
g557_topology_044_qd_maze,g557_topology_044_qd_maze,15,0,15,1,0,0,15,0,0,0,0,15,False,False,False,False,False
g557_topology_047_qd_room,g557_topology_047_qd_room,2,0,2,1,0,0,2,0,0,0,0,2,False,False,False,False,False
g557_topology_048_qd_warehouse,g557_topology_048_qd_warehouse,9,0,9,1,0,0,9,0,0,0,0,9,False,False,False,False,False
g557_topology_049_qd_warehouse,g557_topology_049_qd_warehouse,8,0,8,1,0,0,8,0,0,0,0,8,False,False,False,False,False
g557_topology_050_qd_warehouse,g557_topology_050_qd_warehouse,18,0,18,1,0,0,18,0,0,0,0,18,False,False,False,False,False
g557_topology_051_qd_warehouse,g557_topology_051_qd_warehouse,23,0,23,1,0,0,23,0,0,0,0,23,False,False,False,False,False
g557_topology_058_qd_irregular,g557_topology_058_qd_irregular,20,0,20,1,0,0,20,0,0,0,0,20,False,False,False,False,False
g557_topology_059_qd_irregular,g557_topology_059_qd_irregular,21,0,21,1,0,0,21,0,0,0,0,21,False,False,False,False,False
