agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,g51_classification,map,policy_control,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,strict_failure_reason,success,sum_of_loss_ratio,worse_vs_ltm
100,lacam_star_ltm,,False,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,random-32-32-20,disable,,,random-32-32-20-random-126.scen,126,strict_outcome_not_exact,False,,False
100,lacam_star_ltm,,False,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,classified_time_budget_sensitivity_under_semantic_parity,random-32-32-20,force_additive,,,random-32-32-20-random-126.scen,126,strict_outcome_not_exact,False,,False
50,lacam_star_ltm,1.07934304881,True,True,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,-0.016655100629999975,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-133.scen,133,strict_outcome_not_exact,True,1.06268794818,False
100,lacam_star_ltm,1.13091679123,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-126.scen,126,success_or_timeout_sensitivity,False,,True
100,lacam_star_ltm,,False,True,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-127.scen,127,strict_outcome_not_exact,True,1.20449144487,False
100,lacam_star_ltm,,False,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-127.scen,127,strict_outcome_not_exact,False,,False
100,lacam_star_ltm,1.14442413163,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-128.scen,128,success_or_timeout_sensitivity,False,,True
100,lacam_star_ltm,1.14442413163,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-128.scen,128,success_or_timeout_sensitivity,False,,True
100,lacam_star_ltm,1.16354981299,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-129.scen,129,success_or_timeout_sensitivity,False,,True
100,lacam_star_ltm,1.16354981299,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-129.scen,129,success_or_timeout_sensitivity,False,,True
100,lacam_star_ltm,,False,True,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-130.scen,130,strict_outcome_not_exact,True,1.15028293196,False
100,lacam_star_ltm,,False,True,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-130.scen,130,strict_outcome_not_exact,True,1.15028293196,False
100,lacam_star_ltm,1.1542219995,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,classified_time_budget_sensitivity_under_semantic_parity,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-131.scen,131,success_or_timeout_sensitivity,False,,True
