feature_name,runtime_available_pre_update,source,model_facing,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
map_family,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
agents,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
nominal_budget_ms,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
horizon_id,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
short_budget_ms,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
base_time_limit_sec,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
ltm_max_iterations,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_agents,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_budget_ms,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_budget_per_agent,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_corridor_proxy,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_expanded_nodes,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_expansions_per_agent,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_high_level_expansions,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_iteration_final,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_junction_proxy,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_low_level_pibt_calls,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_map_family_maze,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_map_family_random,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_map_family_warehouse,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_obstacle_ratio_proxy,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_pibt_failure_audit_count,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_trace_event_count,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
feature_trace_events_per_agent,True,solver_trace_or_context_metadata,True,False,False,False,False,False,False
future_solver_outcome,False,forbidden,False,True,False,False,False,False,False
candidate_quality_delta,False,forbidden,False,True,False,False,False,False,False
static_flow_solved_flag_same_counterfactual,False,forbidden,False,True,False,False,False,False,False
oracle_label_raw,False,forbidden,False,True,False,False,False,False,False
theta_cluster_true_label_raw,False,forbidden,False,True,False,False,False,False,False
