agents,budget_sensitive_exclude,contexts,map,map_agent,no_solution_or_budget_abstain,stable_high_confidence_nonstatic,stable_static_or_abstain,training_eligible_contexts
100,0,10,maze-32-32-4,maze-32-32-4|a100,0,7,3,10
50,0,10,maze-32-32-4,maze-32-32-4|a50,0,4,6,10
100,0,10,random-32-32-20,random-32-32-20|a100,0,2,8,10
50,0,10,random-32-32-20,random-32-32-20|a50,0,8,2,10
100,0,10,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1|a100,10,0,0,0
50,0,10,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1|a50,10,0,0,0
