model,metric,value,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g526_topk_baseline,safe_positive_ECE,0.432495238018,False,False,False,False,False
g526_topk_baseline,utility_calibration_error,0.002110617907,False,False,False,False,False
g526_topk_baseline,abstention_calibration_error,0.577606985774,False,False,False,False,False
param_only_control,candidate_induced_failure_ECE,0.535885444237,False,False,False,False,False
param_only_control,budget_sensitive_failure_ECE,0.495375022057,False,False,False,False,False
param_only_control,safe_positive_ECE,0.171445566897,False,False,False,False,False
param_only_control,utility_calibration_error,0.002187907025,False,False,False,False,False
param_only_control,abstention_calibration_error,0.577552110904,False,False,False,False,False
trace_only_control,candidate_induced_failure_ECE,0.519291502368,False,False,False,False,False
trace_only_control,budget_sensitive_failure_ECE,0.495433201894,False,False,False,False,False
trace_only_control,safe_positive_ECE,0.230143857575,False,False,False,False,False
trace_only_control,utility_calibration_error,0.002135137495,False,False,False,False,False
trace_only_control,abstention_calibration_error,0.560958169034,False,False,False,False,False
source_blind_control,candidate_induced_failure_ECE,0.519394193956,False,False,False,False,False
source_blind_control,budget_sensitive_failure_ECE,0.462182021832,False,False,False,False,False
source_blind_control,safe_positive_ECE,0.194395067446,False,False,False,False,False
source_blind_control,utility_calibration_error,0.002138726375,False,False,False,False,False
source_blind_control,abstention_calibration_error,0.486060860623,False,False,False,False,False
bandit_label_shuffled_control,candidate_induced_failure_ECE,0.544350081873,False,False,False,False,False
bandit_label_shuffled_control,budget_sensitive_failure_ECE,0.487146732165,False,False,False,False,False
bandit_label_shuffled_control,safe_positive_ECE,0.211885933474,False,False,False,False,False
bandit_label_shuffled_control,utility_calibration_error,0.002217130275,False,False,False,False,False
bandit_label_shuffled_control,abstention_calibration_error,0.519350081873,False,False,False,False,False
random_feature_control,candidate_induced_failure_ECE,0.536043726564,False,False,False,False,False
random_feature_control,budget_sensitive_failure_ECE,0.470501647918,False,False,False,False,False
random_feature_control,safe_positive_ECE,0.205435747425,False,False,False,False,False
random_feature_control,utility_calibration_error,0.002192722667,False,False,False,False,False
random_feature_control,abstention_calibration_error,0.519377059898,False,False,False,False,False
oracle_teacher_upper_bound_diagnostic_not_for_promotion,candidate_induced_failure_ECE,0.577578865744,False,False,False,False,False
oracle_teacher_upper_bound_diagnostic_not_for_promotion,budget_sensitive_failure_ECE,0.437063092595,False,False,False,False,False
oracle_teacher_upper_bound_diagnostic_not_for_promotion,safe_positive_ECE,0.163209346008,False,False,False,False,False
oracle_teacher_upper_bound_diagnostic_not_for_promotion,utility_calibration_error,0.002315638896,False,False,False,False,False
oracle_teacher_upper_bound_diagnostic_not_for_promotion,abstention_calibration_error,0.235912199077,False,False,False,False,False
