context_id,context_uid,topology_id,map,start_positions_sha256,goal_positions_sha256,start_goal_assignment_hash,actual_start_goal_assignment_used,actual_od_flow_computation_used,edge_use_total,edge_use_max,edge_use_mean,opposing_flow_total,opposing_flow_ratio,path_overlap_concentration,bottleneck_demand,head_on_pressure,flow_imbalance_mean,paths_computed,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_ctx_00000000,673ab03fef636f3dd5542c6ed061b3596de85dfd642febdfce84d93bd4dc6bab,g557_topology_000_empty,empty-32-32,f01c0adde3bad3b4d9ab5373e84fae7aaacdb70fcce46d58a9a656a6837d2001,4243f1414b6c5095826e29dad56dcab98487a1d0de68c8ea229ecb99e2a868bf,ef7225bd0e536468fe536d6ff18488c06e80021840c39a27450b66defb78b99f,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000001,7ab6f1938f3e2ebca35849cf39e1e7432352048400bc35d763d33205f95fbdaf,g557_topology_001_empty,empty-48-48,a97e8b381e4d7db56b46a81cf28d753f95f1a49f5b6252f6b166637945880a01,6980b038781d5baaa42d90b0be2c140863b4424182b68deaafd6356c1db8800d,b408f1d8c1b6e2d7bea367b58bdf7229fed1e5ea9ea8c5e3933ea2411e40a00b,True,True,168,3,0.893617033958,168,1,0.0178571436554,1,0.13475176692,0.326241105795,25,False,False,False,False,False
g557_ctx_00000002,79126cdebfdcfd0c0a11a3ce595a1bcc2f9ed7f8185be2421b4b4654c9bc2f51,g557_topology_002_empty,empty-16-16,1c3ecf1226ebd3ebf916dd71600853bb7dad9a827e7bc31003ba980ec3b234b8,7079909bccdf1b357fd056051825b592825256ffa262751230d32dc4b925e523,f9eb460565b1d88a28e452aa867201c740d2802fc85333883adf5a635e5ea9ea,True,True,4,1,0.0227272734046,4,1,0.25,0,0,0.0454545468092,25,False,False,False,False,False
g557_ctx_00000003,fd27e16066b04f578beb4bc8047bf0e5db643e8b0c80c033d797306954b10b1a,g557_topology_003_random,random-32-32-20,34d9fb4a0748034e6b327f1b2a266a93e3383ab51b6e8b8d2be10208eaf5d58b,728218a4e1ae8b50b93060ae8c6a43d8ac748b772ee08d35039f03949f83bc9c,0cc289f535b976104333ebcdb79ddaf13f9763d81bc4b138c9cf18105451245b,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000004,692ec4fa97b9c33f8b192e007da16324c35f06286c793b876f29198926094fa4,g557_topology_004_random,random-64-64-20,37c7c85d032053dd85eeac824ea65cca9b672ce9713a2860c812dc6ac848d01b,32accb4f79fdc2eeea82565579671982b11ee1c4938ad04461644548f3377997,fae01f29d50a762fba0d57782e57c0cddefc797169b570760957e933977abc54,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000005,968f4f96e973dfebc993de894331373220e2b186718a4fb80c06001e80e3f8f8,g557_topology_005_random,random-32-32-10,bd51ae56cab265b271eac25099cf068bd35803ff923ba9765ec8405aaa330565,416e7d992fe58015f150dd9a71d5210eb66e8083a54d667f66a62ada6f070ca5,7a714f70ee6445ca12caa2078183fa8c6290022fdf19a7ab28ad1a1618baee8a,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000006,f3390d78ff787a38d61ebe73466aa747cf4bfef217bde58d284a2f8f1631c0c8,g557_topology_006_random,random-64-64-10,2a6f1821466cfbe46136625a52ab58b4693ebe3763ce1a5b9b60253f7e5b64c1,4effdc9ad61e1fd67188c3608d5a2a171d2accecac1c28462aa122fca03220ae,92efeb022468e65f1ca56a01228c99f517cba5295dc689fef903052ae2c6836f,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000007,7fff45fb33dd1b358902b524d56a9da31b808d701c994e7f9571f9f4660dd9aa,g557_topology_007_maze,maze-32-32-4,45797d09dd65c2e8140c4d3990b25700826f14e45ff11462b079bac2b5c252d9,4502435f390828cbd405db77422f6698287896209051d2b5c169a9ae6c4dae4e,1adc72628ade73e8812ac4782ac0ef949cd11c71a8a69c14f78f797b1f47115b,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000008,c0af1de52e2634624de145f29e9bb2f8467c07d5948e89f42aa3af9475248f00,g557_topology_008_maze,maze-32-32-2,6ca9cdd25361262f69b2c0c578306dde182fe5a7d90ee566d6bb8cd797bf8350,03ed0ce7d70cc98ccf33c7698c1b4e97e25c80dc4e41e71b9bdd7ea3729c7fc2,e4d672ab2598348f67e6d918c7c05fce8724a4d9e2be0095e9319d4d40b78f9b,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000009,5d6fdfe1a9d25c0505efcd3a2d8a977b155940a1e57b68e2287df61bca25da4f,g557_topology_009_maze,maze-128-128-2,bebf0553c416bd25eea0c3883fa3941ac2aac90fb0d618d2f52677f79ec75dd1,a67c5e7fb01295c8ae2d66321a822f960c4e22c71656ffe68ed7f21f6d3e6c74,7dbfb85e678765e5529280b99894818e7cb24188859a2e0bc54fea296b0da3d7,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000010,9e62ab9dec9e11eb49481d0d7e9e392d3cc5ce8dd240cf0ab9cd66afda0781bc,g557_topology_010_maze,maze-128-128-10,b1b73a1a3deb2a905eed69baad755eed53a2ae5647496220519c3a5ea17b9b38,9dac43df44f8fbc80b30ad660584e67a8670e698b0a49e5f666b78f986e9adce,5c9ce5532a1c2a0cf572b490590157b0ea5fde2890f708b79efb0709d112b36b,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000011,9d02fb95dd9ef70d5d30826054a675b1c44f80553ac97e3bf1c3823fcc07f75e,g557_topology_011_room,room-32-32-4,f1cbe740c60bd0de7b26b948d7d655d314fd5a0cebb335cdb3fff55072994622,e1ed2b137917a165af3a90d63d0e149c0fdf00d46ecd961ad47ba0462eec70d2,7b178ec3dbaa45fe006c552387efe536192b96558bb606b58eac3fd8424b2e23,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000012,e56b6793545145017f35749c34aefb5f07762b0223ea9d2e915042498f65feaf,g557_topology_012_room,room-64-64-8,b5ce20e0bf6fcdc85ded18fb4063054e3604091d4593eb3c1fd618eea51f6e35,35b1ab915c55710becdc21cb05ef5fea19ac2a9effb9f65318a1c5bb1b5b7fb6,4cff1c95ef85bbb86646d11742686bd53af53cc30daa3413828db1a89e495620,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000013,841ccef957c339e31def8eb077589f65b717a3c7e00c8e4bdd8355821b54d529,g557_topology_013_room,room-64-64-16,62cf3fd9ced5c7dd2f539fc1ad87a035b6768c9b914547fd84129b83d93094eb,47438aa7f670efc5b13f2eecfdf6742c3d81a6abf12823e85e3781f6cac609eb,917fac53ecdffd32da41e7ea453a5e43d25abb41cdc06ea6595a5d65fbe27802,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000014,4e04468ed7d333fc532f70e7a775e8d4cadc45b747a75bbd431a4594341cb500,g557_topology_014_warehouse,warehouse-10-20-10-2-1,dae9956ead01275ce025bc9afb6e48dd37e342a6dfeff91ebc94a6950680b649,bf4a7742822c6763ff7150d69d6d6174069ca65809d9f650a1f8760bd1a7556d,d0d6fa99187d4026e4d00432e62d48fab751604a6d855c1728879f234a5a8e53,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000015,10cf24a86a1ff23426bc4fd0d252a30ad4ed2b15213f1259e95e7020030a62fc,g557_topology_015_warehouse,warehouse-10-20-10-2-2,096951fbbe726cdc1faacaa10667aa63f4748ff802d924ce20a8f55549fb7290,74c4c3cd455af85d1714a001790cbe912fb9a79ca986d8c6713909c84db7792b,d4a3f056cf17b15ff3395f26a2a6fcc898a6cbc916836c503eab5b8efbc31a70,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000016,53048ab48ecf4a87fa69512b1c8f11e43b19b60175594ef590512f318ccf041e,g557_topology_016_warehouse,warehouse-20-40-10-2-1,5e336aa7390927ad4796d5547662a4c25b2999a51fcb04e89490d1b4a4774f2f,4fb9e04283dd4018dae571ad9d77714d8f2d196f8956ce4ef1b6b35adcf358d4,9040a2bb64b5ef4f429c1a8c1bf3387067f8ae2b89d1a5a5b5e420f88d0a0d25,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
g557_ctx_00000017,f46331a0649bbc3cd93904798ecc406c74e0763ed21115c8b3464c40d8cff2de,g557_topology_017_warehouse,warehouse-20-40-10-2-2,786c94f5ec6104c28241fc11cdbb3f6bbe482ddac93a6a997f7075caf137e61e,e7e82669ec83aae217d01f28d65b3bd2e78dc45f911493d751e29a5bf03defc6,0402bf25b3df6e6658340f1aa973c3971e859ac0cc8761526085c824786184ce,True,True,0,0,0,0,0,0,0,0,0,25,False,False,False,False,False
