source_split,g567_evaluation_uid,g567_dataset_row_id,map,map_family,agents,candidate_count,safe_AB_candidate_count,joint_positive_AB_candidate_count,trained_A5_actor_result_available,trained_A5_delta_vs_additive,trained_A5_delta_vs_static_flow,g556_result,static_flow_result,additive_result,best_safe_AB_vs_additive_theta_id,best_safe_AB_vs_additive_variant_id,best_safe_AB_vs_additive_family,best_safe_AB_vs_additive_delta_vs_additive,best_safe_AB_vs_additive_relative_improvement_vs_additive,best_safe_AB_vs_static_flow_theta_id,best_safe_AB_vs_static_flow_variant_id,best_safe_AB_vs_static_flow_family,best_safe_AB_vs_static_flow_delta_vs_static_flow,best_safe_AB_vs_static_flow_relative_improvement_vs_static_flow,best_joint_positive_AB_theta_id,best_joint_positive_AB_variant_id,best_joint_positive_AB_family,best_joint_positive_AB_delta_vs_additive,best_joint_positive_AB_relative_improvement_vs_additive,best_candidate_ignoring_safety_theta_id,best_candidate_ignoring_safety_variant_id,best_candidate_ignoring_safety_family,best_candidate_ignoring_safety_delta_vs_additive,best_candidate_ignoring_safety_relative_improvement_vs_additive
LABEL_TRAIN_candidate_pool,000488448d989f12bfe9c8df1fd177475bfc04dc9ae257bcddc4c604366a3382,g567_gate3b_label_train_01074,g567-room-48x48-a-v1,room,8,21,21,0,False,,,,,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_0ef253da570f,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,0.0,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_0ef253da570f,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,0.0,,,,,,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_0ef253da570f,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,0.0,
LABEL_TRAIN_candidate_pool,000ef82bbad5999647c5a3f8335e2f7ad7a6e411e640f3b06df7695ccb61c847,g567_gate3b_label_train_00802,g567-large-empty-128x128-a-v3,large_empty,64,21,21,0,False,,,,,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_3715ca4770b3,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,-0.0015143866700000341,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_3715ca4770b3,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,-0.0015143866700000341,,,,,,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_3715ca4770b3,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,-0.0015143866700000341,
LABEL_TRAIN_candidate_pool,0059c3068107eef726df8c2a82662b8a2d420bf8f2f8ccb002da38dc00b6d314,g567_gate3b_label_train_01232,room_64_64_16,room,24,21,21,0,False,,,,,,g567_gate3b_label_train_g4_decay_only_alpha_1p5_s566_d8c4e0ee0dbc,G4_decay_ONLY_ALPHA_1p5,group,-0.006030150750000018,,g567_gate3b_label_train_g4_decay_only_alpha_1p5_s566_d8c4e0ee0dbc,G4_decay_ONLY_ALPHA_1p5,group,-0.006030150750000018,,,,,,,g567_gate3b_label_train_g4_decay_only_alpha_1p5_s566_d8c4e0ee0dbc,G4_decay_ONLY_ALPHA_1p5,group,-0.006030150750000018,
LABEL_TRAIN_candidate_pool,007d7646c646288edd714e58367d765ddadd21ffc14443c944c34dbb52f220fc,g567_gate3b_label_train_00807,g567-large-empty-128x128-a-v2,large_empty,64,21,21,0,False,,,,,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_6c416357bfa2,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,0.0,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_6c416357bfa2,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,0.0,,,,,,,g567_gate3b_label_train_g1_congestion_commit_block_only_alpha_1p0_s566_6c416357bfa2,G1_congestion_commit_block_ONLY_ALPHA_1p0,group,0.0,
LABEL_TRAIN_candidate_pool,008b4c123bdd0847ca3ea5daa29ee82e97e89628486ff33855d21121ab017cc9,g567_gate3b_label_train_01613,sortation_medium,public_other,3000,21,21,0,False,,,,,,g567_gate3b_label_train_static_global_alpha_0p5_s566_32b7f11a689a,STATIC_GLOBAL_ALPHA_0p5,global_static_anchor,-0.07361105597000006,,g567_gate3b_label_train_static_global_alpha_0p5_s566_32b7f11a689a,STATIC_GLOBAL_ALPHA_0p5,global_static_anchor,-0.004682573349999997,,,,,,,g567_gate3b_label_train_static_global_alpha_0p5_s566_32b7f11a689a,STATIC_GLOBAL_ALPHA_0p5,global_static_anchor,-0.07361105597000006,
LABEL_TRAIN_candidate_pool,00a1991fa36a95b682135d11e06b02944e1b92aa1cf87bc76163368fb106c036,g567_gate3b_calibration_00389,g567-large-lanes-192x128-a-v3,large_lanes,2500,21,21,19,False,,,,,,g567_gate3b_label_train_selected_actor_primary_30s_exact_s566_04e647ae2274,SELECTED_ACTOR_PRIMARY_30S_EXACT,actor_direct,-0.08583939086000014,,g567_gate3b_label_train_selected_actor_primary_30s_exact_s566_04e647ae2274,SELECTED_ACTOR_PRIMARY_30S_EXACT,actor_direct,-0.14084492306000018,,g567_gate3b_label_train_selected_actor_primary_30s_exact_s566_04e647ae2274,SELECTED_ACTOR_PRIMARY_30S_EXACT,actor_direct,-0.08583939086000014,,g567_gate3b_label_train_selected_actor_primary_30s_exact_s566_04e647ae2274,SELECTED_ACTOR_PRIMARY_30S_EXACT,actor_direct,-0.08583939086000014,
LABEL_TRAIN_candidate_pool,00d338a424ddf556b9bbfb4c42a8b2a719c9fbcadb222abc4ba3719b297bd315,g567_gate3b_calibration_00465,g567-spiral-40x40-a-v3,spiral,128,21,21,0,False,,,,,,g567_gate3b_label_train_static_global_alpha_0p25_s566_757c2e0e0443,STATIC_GLOBAL_ALPHA_0p25,global_static_anchor,-0.06702662446999996,,g567_gate3b_label_train_static_global_alpha_0p25_s566_757c2e0e0443,STATIC_GLOBAL_ALPHA_0p25,global_static_anchor,-0.036678458389999946,,,,,,,g567_gate3b_label_train_static_global_alpha_0p25_s566_757c2e0e0443,STATIC_GLOBAL_ALPHA_0p25,global_static_anchor,-0.06702662446999996,
LABEL_TRAIN_candidate_pool,00d72461f4a0371afade332dca0dea58b0eeff47cfbf63f2200cba3177dcba90,g567_gate3b_label_train_01437,maze_128_128_2,maze,512,21,21,0,False,,,,,,g567_gate3b_label_train_static_global_alpha_0p5_s566_7c30f2ba4eb2,STATIC_GLOBAL_ALPHA_0p5,global_static_anchor,0.007589627280000011,,g567_gate3b_label_train_static_global_alpha_0p5_s566_7c30f2ba4eb2,STATIC_GLOBAL_ALPHA_0p5,global_static_anchor,0.004471117060000029,,,,,,,g567_gate3b_label_train_static_global_alpha_0p5_s566_7c30f2ba4eb2,STATIC_GLOBAL_ALPHA_0p5,global_static_anchor,0.007589627280000011,
LABEL_TRAIN_candidate_pool,00dcf1f075cfa5075c0562151a7a6ec9ee71354a7952d5b2ee24aec23d13b4df,g567_gate3b_label_train_00697,g567-large-room-128x128-a-v1,large_room,3000,21,21,0,False,,,,,,g567_gate3b_label_train_static_global_alpha_0p25_s566_9349725a2200,STATIC_GLOBAL_ALPHA_0p25,global_static_anchor,-0.09324207043000055,,g567_gate3b_label_train_static_global_alpha_0p25_s566_9349725a2200,STATIC_GLOBAL_ALPHA_0p25,global_static_anchor,-0.008137936800000745,,,,,,,g567_gate3b_label_train_static_global_alpha_0p25_s566_9349725a2200,STATIC_GLOBAL_ALPHA_0p25,global_static_anchor,-0.09324207043000055,
LABEL_TRAIN_candidate_pool,00ed696652dca368a312212c5d69f70e6b79d0e060a41cd1fb3741c3900a6e9f,g567_gate3b_label_train_01443,maze_128_128_2,maze,1500,21,21,0,False,,,,,,g567_gate3b_label_train_g556_global_alpha_0p75_s566_8f36791ed0ce,G556_GLOBAL_ALPHA_0p75,global_g556_anchor,-0.018121371559999933,,g567_gate3b_label_train_g556_global_alpha_0p75_s566_8f36791ed0ce,G556_GLOBAL_ALPHA_0p75,global_g556_anchor,-0.018121371559999933,,,,,,,g567_gate3b_label_train_g556_global_alpha_0p75_s566_8f36791ed0ce,G556_GLOBAL_ALPHA_0p75,global_g556_anchor,-0.018121371559999933,
