target_rule,predicted_rule,count
additive_ltm,additive_ltm,97
additive_ltm,block_heavy,10
additive_ltm,commit_heavy,59
block_heavy,additive_ltm,43
block_heavy,block_heavy,23
block_heavy,commit_heavy,20
block_light,additive_ltm,11
block_light,commit_heavy,1
commit_heavy,additive_ltm,41
commit_heavy,block_heavy,5
commit_heavy,commit_heavy,63
decay_090,additive_ltm,7
decay_095,additive_ltm,10
decay_095,commit_heavy,3
wait_heavy,additive_ltm,17
wait_heavy,block_heavy,1
wait_heavy,commit_heavy,1
wait_light,additive_ltm,38
wait_light,block_heavy,1
wait_light,commit_heavy,7
wait_light,wait_light,1
