fold,seed,target,train_rows,predict_rows,finite_train_rows,train_physical_maps,predict_physical_maps,physical_map_leakage_violations,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
2,566,log_actor_runtime_ms,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,log_actor_expanded_nodes,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,log_actor_low_level_pibt_calls,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_regression_vs_additive,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_regression_vs_static_flow,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_regression_vs_g556,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_gain,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,delta_vs_additive,35440,14608,33329,28,7,0,False,False,False,False,False
2,567,delta_vs_static_flow,35440,14608,34385,28,7,0,False,False,False,False,False
2,567,delta_vs_g556,35440,14608,34457,28,7,0,False,False,False,False,False
2,567,log_actor_runtime_ms,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,log_actor_expanded_nodes,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,log_actor_low_level_pibt_calls,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_regression_vs_additive,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_regression_vs_static_flow,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_regression_vs_g556,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_gain,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,delta_vs_additive,35440,14608,33329,28,7,0,False,False,False,False,False
2,568,delta_vs_static_flow,35440,14608,34385,28,7,0,False,False,False,False,False
2,568,delta_vs_g556,35440,14608,34457,28,7,0,False,False,False,False,False
2,568,log_actor_runtime_ms,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,log_actor_expanded_nodes,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,log_actor_low_level_pibt_calls,35440,14608,35440,28,7,0,False,False,False,False,False
3,566,success_regression_vs_additive,42387,7661,42387,28,7,0,False,False,False,False,False
3,566,success_regression_vs_static_flow,42387,7661,42387,28,7,0,False,False,False,False,False
3,566,success_regression_vs_g556,42387,7661,42387,28,7,0,False,False,False,False,False
3,566,success_gain,42387,7661,42387,28,7,0,False,False,False,False,False
3,566,delta_vs_additive,42387,7661,40221,28,7,0,False,False,False,False,False
3,566,delta_vs_static_flow,42387,7661,41283,28,7,0,False,False,False,False,False
3,566,delta_vs_g556,42387,7661,41398,28,7,0,False,False,False,False,False
3,566,log_actor_runtime_ms,42387,7661,42387,28,7,0,False,False,False,False,False
3,566,log_actor_expanded_nodes,42387,7661,42387,28,7,0,False,False,False,False,False
3,566,log_actor_low_level_pibt_calls,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,success_regression_vs_additive,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,success_regression_vs_static_flow,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,success_regression_vs_g556,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,success_gain,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,delta_vs_additive,42387,7661,40221,28,7,0,False,False,False,False,False
3,567,delta_vs_static_flow,42387,7661,41283,28,7,0,False,False,False,False,False
3,567,delta_vs_g556,42387,7661,41398,28,7,0,False,False,False,False,False
3,567,log_actor_runtime_ms,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,log_actor_expanded_nodes,42387,7661,42387,28,7,0,False,False,False,False,False
3,567,log_actor_low_level_pibt_calls,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,success_regression_vs_additive,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,success_regression_vs_static_flow,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,success_regression_vs_g556,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,success_gain,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,delta_vs_additive,42387,7661,40221,28,7,0,False,False,False,False,False
3,568,delta_vs_static_flow,42387,7661,41283,28,7,0,False,False,False,False,False
3,568,delta_vs_g556,42387,7661,41398,28,7,0,False,False,False,False,False
3,568,log_actor_runtime_ms,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,log_actor_expanded_nodes,42387,7661,42387,28,7,0,False,False,False,False,False
3,568,log_actor_low_level_pibt_calls,42387,7661,42387,28,7,0,False,False,False,False,False
4,566,success_regression_vs_additive,43160,6888,43160,28,7,0,False,False,False,False,False
4,566,success_regression_vs_static_flow,43160,6888,43160,28,7,0,False,False,False,False,False
4,566,success_regression_vs_g556,43160,6888,43160,28,7,0,False,False,False,False,False
4,566,success_gain,43160,6888,43160,28,7,0,False,False,False,False,False
4,566,delta_vs_additive,43160,6888,41388,28,7,0,False,False,False,False,False
4,566,delta_vs_static_flow,43160,6888,42423,28,7,0,False,False,False,False,False
4,566,delta_vs_g556,43160,6888,42466,28,7,0,False,False,False,False,False
4,566,log_actor_runtime_ms,43160,6888,43160,28,7,0,False,False,False,False,False
