route,sampling_policy,planned_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
C1_core_replication,baseline,960,False,False,False,False,False
C1_core_replication,conservative_shrinkage_25,40,False,False,False,False,False
C1_core_replication,conservative_shrinkage_50,40,False,False,False,False,False
C1_core_replication,conservative_shrinkage_75,40,False,False,False,False,False
C1_core_replication,g549_true_region_best_examples,200,False,False,False,False,False
C1_core_replication,g549_true_region_centroid,40,False,False,False,False,False
C1_core_replication,g549_true_region_dense_local_perturbation,960,False,False,False,False,False
C1_core_replication,negative_random_or_sobol_control,30680,False,False,False,False,False
C2_neighbor_transfer,baseline,1710,False,False,False,False,False
C2_neighbor_transfer,conservative_shrinkage_25,40,False,False,False,False,False
C2_neighbor_transfer,conservative_shrinkage_50,40,False,False,False,False,False
C2_neighbor_transfer,conservative_shrinkage_75,40,False,False,False,False,False
C2_neighbor_transfer,g549_true_region_best_examples,200,False,False,False,False,False
C2_neighbor_transfer,g549_true_region_centroid,40,False,False,False,False,False
C2_neighbor_transfer,g549_true_region_dense_local_perturbation,960,False,False,False,False,False
C2_neighbor_transfer,negative_random_or_sobol_control,27180,False,False,False,False,False
C3_hard_stratum_diagnostic,baseline,1080,False,False,False,False,False
C3_hard_stratum_diagnostic,negative_random_or_sobol_control,4320,False,False,False,False,False
