policy_key,map_family,agents,budget_ms,selected_candidate,method,fallback_candidate,policy_type,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze|500|50,maze,50,500,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
maze|1000|50,maze,50,1000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
maze|2000|50,maze,50,2000,repair5g539_s3_112,repair5g518_grid_c1p4_b1p6_f1p25_w0p75_dc1p00_df1p00_beta0p6_max1p25_c0,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
maze|500|100,maze,100,500,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
maze|1000|100,maze,100,1000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
maze|2000|100,maze,100,2000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
random|500|50,random,50,500,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
random|1000|50,random,50,1000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
random|2000|50,random,50,2000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
random|500|100,random,100,500,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
random|1000|100,random,100,1000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
random|2000|100,random,100,2000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|500|50,warehouse,50,500,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|1000|50,warehouse,50,1000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|2000|50,warehouse,50,2000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|500|100,warehouse,100,500,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|1000|100,warehouse,100,1000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|2000|100,warehouse,100,2000,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,safe_region_lookup_with_static_fallback,False,False,False,False,False
