map,agents,seed,scen,oracle_source_method,lacam_star_ltm_success,oracle_success,lacam_star_ltm_ratio,oracle_ratio,oracle_delta_ratio_vs_ltm
maze-32-32-4,100,42,maze-32-32-4-random-42.scen,repair5g_dual_c_only_locked_f4,True,True,1.24876237624,1.25643564356,0.007673267319999955
maze-32-32-4,100,43,maze-32-32-4-random-43.scen,repair5g_dual_c_only_locked_f4,True,True,1.27938247012,1.29506972112,0.015687250999999902
maze-32-32-4,100,44,maze-32-32-4-random-44.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.30298786181,1.28898225957,-0.014005602239999915
maze-32-32-4,100,45,maze-32-32-4-random-45.scen,repair5g_dual_c_only_locked_f4,True,True,1.08425763767,1.12161899202,0.03736135434999999
random-32-32-20,50,26,random-32-32-20-random-26.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.10743061773,1.10743061773,0.0
random-32-32-20,50,27,random-32-32-20-random-27.scen,repair5g_dual_c_only_locked_f4,True,True,1.13200379867,1.13200379867,0.0
random-32-32-20,50,28,random-32-32-20-random-28.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.12136325852,1.12136325852,0.0
random-32-32-20,50,29,random-32-32-20-random-29.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.16873889876,1.16873889876,0.0
random-32-32-20,50,30,random-32-32-20-random-30.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.13783269962,1.13783269962,0.0
random-32-32-20,50,31,random-32-32-20-random-31.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.09322033898,1.09322033898,0.0
random-32-32-20,50,32,random-32-32-20-random-32.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.1320754717,1.1320754717,0.0
random-32-32-20,50,33,random-32-32-20-random-33.scen,repair5g_dual_c_only_locked_f4,True,True,1.13006029285,1.13436692506,0.004306632209999828
random-32-32-20,50,34,random-32-32-20-random-34.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.07410795974,1.07410795974,0.0
random-32-32-20,50,35,random-32-32-20-random-35.scen,repair5g_dual_c_only_locked_f4,True,True,1.1432748538,1.13157894737,-0.011695906429999958
random-32-32-20,50,36,random-32-32-20-random-36.scen,repair5g_dual_c_only_locked_f4,True,True,1.15151515152,1.16277056277,0.01125541125000007
random-32-32-20,50,37,random-32-32-20-random-37.scen,repair5g_dual_c_only_locked_f4,True,True,1.13076923077,1.13076923077,0.0
random-32-32-20,50,38,random-32-32-20-random-38.scen,repair5g_dual_c_only_best_f4_observed,True,True,0.477297493643,0.477297493643,0.0
random-32-32-20,50,39,random-32-32-20-random-39.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.12626728111,1.12626728111,0.0
random-32-32-20,50,40,random-32-32-20-random-40.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.16459074733,1.12277580071,-0.04181494661999996
random-32-32-20,50,41,random-32-32-20-random-41.scen,repair5g_dual_c_only_locked_f4,True,True,1.0985267035,1.0985267035,0.0
random-32-32-20,50,42,random-32-32-20-random-42.scen,repair5g_dual_c_only_locked_f4,True,True,1.10410958904,1.10410958904,0.0
random-32-32-20,50,43,random-32-32-20-random-43.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.14634146341,1.14540337711,-0.0009380862999999184
random-32-32-20,50,44,random-32-32-20-random-44.scen,repair5g_dual_c_only_locked_f4,True,True,1.09055501461,1.09055501461,0.0
random-32-32-20,50,45,random-32-32-20-random-45.scen,repair5g_dual_c_only_locked_f4,True,True,1.1123388582,1.1123388582,0.0
random-32-32-20,100,26,random-32-32-20-random-26.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.25625274243,1.25625274243,0.0
random-32-32-20,100,27,random-32-32-20-random-27.scen,repair5g_dual_balanced_decay,True,True,1.30574162679,1.27272727273,-0.03301435405999986
random-32-32-20,100,28,random-32-32-20-random-28.scen,repair5g_dual_balanced_decay,True,True,1.28090869375,1.25906509393,-0.021843599819999948
random-32-32-20,100,29,random-32-32-20-random-29.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.25011185682,1.26800894855,0.01789709172999987
random-32-32-20,100,30,random-32-32-20-random-30.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.22916666667,1.2578125,0.028645833329999926
random-32-32-20,100,31,random-32-32-20-random-31.scen,repair5g_dual_c_only_locked_f4,True,True,1.28565436242,1.28565436242,0.0
random-32-32-20,100,32,random-32-32-20-random-32.scen,repair5g_dual_c_only_locked_f4,True,True,1.23971149767,1.23971149767,0.0
random-32-32-20,100,33,random-32-32-20-random-33.scen,repair5g_dual_c_only_locked_f4,True,True,1.26107127794,1.21678616617,-0.04428511177000005
random-32-32-20,100,34,random-32-32-20-random-34.scen,repair5g_dual_c_only_locked_f4,True,True,1.19883303411,1.24326750449,0.044434470379999924
random-32-32-20,100,35,random-32-32-20-random-35.scen,repair5g_dual_c_only_best_f4_observed,True,True,0.926086956522,0.902675585284,-0.023411371237999967
random-32-32-20,100,36,random-32-32-20-random-36.scen,repair5g_dual_goal_gated_wait_025,True,True,1.28085106383,1.31489361702,0.03404255319000016
random-32-32-20,100,37,random-32-32-20-random-37.scen,repair5g_dual_c_only_locked_f4,True,True,1.22690217391,1.27626811594,0.04936594203000011
random-32-32-20,100,38,random-32-32-20-random-38.scen,repair5g_dual_c_only_best_f4_observed,True,True,0.732129032258,0.722322580645,-0.009806451612999978
random-32-32-20,100,39,random-32-32-20-random-39.scen,repair5g_dual_goal_gated_wait_025,True,True,1.25331504344,1.25194330133,-0.0013717421099999072
random-32-32-20,100,40,random-32-32-20-random-40.scen,repair5g_dual_c_only_locked_f4,True,True,1.2844404815,1.29157378511,0.007133303610000086
random-32-32-20,100,41,random-32-32-20-random-41.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.29969149405,1.30453944469,0.004847950640000098
random-32-32-20,100,42,random-32-32-20-random-42.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.22192982456,1.23947368421,0.017543859649999938
random-32-32-20,100,43,random-32-32-20-random-43.scen,repair5g_dual_block_wait_cong_flow025,True,True,1.24893516327,1.24420255561,-0.004732607660000054
