feature,forbidden
feature_blocked_local_position_mean,False
feature_blocked_reason_backtrack_rate,False
feature_blocked_reason_edge_swap_rate,False
feature_blocked_reason_vertex_conflict_rate,False
feature_candidate_predicted_blocked_edge_relief_metric,False
feature_candidate_predicted_blocked_minus_committed_weight,False
feature_candidate_predicted_congestion_decay_effect,False
feature_candidate_predicted_flow_decay_effect,False
feature_candidate_predicted_flow_shield_on_progress_edges,False
feature_candidate_predicted_flow_shield_on_wait_edges,False
feature_candidate_predicted_goal_progress_local_position_shift,False
feature_candidate_predicted_goal_progress_rank_shift,False
feature_candidate_predicted_nonprogress_penalty_metric,False
feature_candidate_predicted_progress_minus_wait_weight,False
feature_candidate_predicted_wait_local_position_shift,False
feature_candidate_predicted_wait_rank_shift,False
feature_candidate_predicted_weight_on_blocked_progress_edges,False
feature_candidate_predicted_weight_on_committed_progress_edges,False
feature_candidate_predicted_weight_on_wait_edges,False
feature_committed_local_position_mean,False
feature_committed_vs_blocked_rank_margin_x_candidate_flow,False
feature_competing_neighbor_count_max,False
feature_competing_neighbor_count_mean,False
feature_congestion_decay_expected_on_blocked_edges,False
feature_failed_candidate_backtrack_histogram,False
feature_failed_candidate_edge_swap_histogram,False
feature_failed_candidate_priority_block_histogram,False
feature_failed_candidate_rank_histogram_max,False
feature_failed_candidate_rank_histogram_mean,False
feature_failed_candidate_vertex_conflict_histogram,False
feature_flow_decay_expected_on_committed_edges,False
feature_flow_shield_expected_on_goal_progress,False
feature_flow_shield_expected_on_wait_nonprogress,False
feature_full_coverage_context_seen,False
feature_g525_subset_membership,False
feature_goal_aware_c_minus_f_alignment,False
feature_goal_aware_congestion_on_blocked_edges,False
feature_goal_aware_congestion_on_goal_progress_edges,False
feature_goal_aware_flow_on_blocked_edges,False
feature_goal_aware_flow_on_goal_progress_edges,False
feature_goal_aware_update_balance,False
feature_goal_progress_local_position_mean,False
feature_local_margin_blocked_vs_committed_mean,False
feature_local_margin_top1_top2_mean,False
feature_missing_from_g525_subset,False
feature_mix_alpha_cong_blocked_blocked_progress_relief,False
feature_mix_alpha_cong_blocked_failed_rank_mean,False
feature_mix_alpha_cong_blocked_goal_progress_relief,False
feature_mix_alpha_cong_blocked_margin_to_static,False
feature_mix_alpha_cong_blocked_region_prior,False
feature_mix_alpha_cong_blocked_vertex_conflict_histogram,False
feature_mix_alpha_cong_blocked_wait_penalty,False
feature_mix_alpha_cong_committed_blocked_progress_relief,False
feature_mix_alpha_cong_committed_failed_rank_mean,False
feature_mix_alpha_cong_committed_goal_progress_relief,False
feature_mix_alpha_cong_committed_margin_to_static,False
feature_mix_alpha_cong_committed_region_prior,False
feature_mix_alpha_cong_committed_vertex_conflict_histogram,False
feature_mix_alpha_cong_committed_wait_penalty,False
feature_mix_alpha_flow_progress_blocked_progress_relief,False
feature_mix_alpha_flow_progress_failed_rank_mean,False
feature_mix_alpha_flow_progress_goal_progress_relief,False
feature_mix_alpha_flow_progress_margin_to_static,False
feature_mix_alpha_flow_progress_region_prior,False
feature_mix_alpha_flow_progress_vertex_conflict_histogram,False
feature_mix_alpha_flow_progress_wait_penalty,False
feature_mix_alpha_flow_wait_or_nonprogress_blocked_progress_relief,False
feature_mix_alpha_flow_wait_or_nonprogress_failed_rank_mean,False
feature_mix_alpha_flow_wait_or_nonprogress_goal_progress_relief,False
feature_mix_alpha_flow_wait_or_nonprogress_margin_to_static,False
feature_mix_alpha_flow_wait_or_nonprogress_region_prior,False
feature_mix_alpha_flow_wait_or_nonprogress_vertex_conflict_histogram,False
feature_mix_alpha_flow_wait_or_nonprogress_wait_penalty,False
feature_mix_c_only_blocked_progress_relief,False
feature_mix_c_only_failed_rank_mean,False
feature_mix_c_only_goal_progress_relief,False
feature_mix_c_only_margin_to_static,False
feature_mix_c_only_region_prior,False
feature_mix_c_only_vertex_conflict_histogram,False
feature_mix_c_only_wait_penalty,False
feature_mix_flow_shield_beta_blocked_progress_relief,False
feature_mix_flow_shield_beta_failed_rank_mean,False
feature_mix_flow_shield_beta_goal_progress_relief,False
feature_mix_flow_shield_beta_margin_to_static,False
feature_mix_flow_shield_beta_region_prior,False
feature_mix_flow_shield_beta_vertex_conflict_histogram,False
feature_mix_flow_shield_beta_wait_penalty,False
feature_mix_max_flow_shield_blocked_progress_relief,False
feature_mix_max_flow_shield_failed_rank_mean,False
feature_mix_max_flow_shield_goal_progress_relief,False
feature_mix_max_flow_shield_margin_to_static,False
feature_mix_max_flow_shield_region_prior,False
feature_mix_max_flow_shield_vertex_conflict_histogram,False
feature_mix_max_flow_shield_wait_penalty,False
feature_mix_rho_cong_blocked_progress_relief,False
feature_mix_rho_cong_failed_rank_mean,False
feature_mix_rho_cong_goal_progress_relief,False
feature_mix_rho_cong_margin_to_static,False
feature_mix_rho_cong_region_prior,False
feature_mix_rho_cong_vertex_conflict_histogram,False
feature_mix_rho_cong_wait_penalty,False
feature_mix_rho_flow_blocked_progress_relief,False
feature_mix_rho_flow_failed_rank_mean,False
feature_mix_rho_flow_goal_progress_relief,False
feature_mix_rho_flow_margin_to_static,False
feature_mix_rho_flow_region_prior,False
feature_mix_rho_flow_vertex_conflict_histogram,False
feature_mix_rho_flow_wait_penalty,False
feature_param_alpha_cong_blocked,False
feature_param_alpha_cong_committed,False
feature_param_alpha_flow_progress,False
feature_param_alpha_flow_wait_or_nonprogress,False
feature_param_c_only,False
feature_param_flow_shield_beta,False
feature_param_max_flow_shield,False
feature_param_rho_cong,False
feature_param_rho_flow,False
feature_policy_prior_class_frequency,False
feature_policy_prior_fallback_rate,False
feature_policy_prior_region_frequency,False
feature_progress_vs_wait_rank_margin_x_candidate_congestion,False
feature_rank_effect_candidate_rank_global,False
feature_rank_effect_candidate_rank_within_region,False
feature_rank_effect_margin_to_old14_g518,False
feature_rank_effect_margin_to_static,False
feature_rank_effect_topk_margin_to_next_candidate,False
feature_wait_local_position_mean,False
feature_pibt_failure_candidate_count,False
feature_pibt_failure_vertex_conflict_rate,False
feature_pibt_failure_edge_swap_rate,False
feature_pibt_failure_priority_block_rate,False
feature_pibt_failure_backtrack_rate,False
feature_pibt_failure_unknown_rate,False
feature_pibt_failure_first_reason_hash,False
feature_pibt_failure_last_reason_hash,False
feature_pibt_failure_mean_failed_rank,False
feature_pibt_failure_max_failed_rank,False
feature_pibt_failure_rank_entropy,False
feature_priority_block_exact_subreason_rate_recursive_pibt_child_return_false,False
feature_priority_block_exact_subreason_rate_priority_order_blocked_candidate,False
feature_priority_block_exact_subreason_rate_none,False
feature_failed_candidate_reason_x_candidate_param_vertex_conflict_alpha_blocked,False
feature_failed_candidate_reason_x_candidate_param_backtrack_flow_shield,False
feature_failed_rank_x_flow_shield,False
feature_failed_rank_x_alpha_blocked,False
feature_failed_rank_x_alpha_wait,False
feature_teacher_false_positive_risk_prior,False
feature_teacher_fallback_region_prior,False
