selected_candidate,theta_cluster,candidate_group,rows,success_regression_rows,success_regression_vs_additive_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g551_theta_551000317,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,53,53,20,False,False,False,False,False
repair5g551_theta_551000511,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,48,48,22,False,False,False,False,False
repair5g551_theta_551000501,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,45,45,19,False,False,False,False,False
repair5g551_theta_551000393,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,34,34,16,False,False,False,False,False
repair5g551_theta_551000124,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,32,32,13,False,False,False,False,False
repair5g551_theta_551000082,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,31,31,15,False,False,False,False,False
repair5g551_theta_551000394,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,30,30,14,False,False,False,False,False
repair5g551_theta_551000081,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,29,29,14,False,False,False,False,False
repair5g551_theta_551000095,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,29,29,12,False,False,False,False,False
repair5g551_theta_551000176,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,29,29,14,False,False,False,False,False
repair5g551_theta_551000270,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,26,26,12,False,False,False,False,False
repair5g551_theta_551000273,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,25,25,12,False,False,False,False,False
repair5g551_theta_551000505,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,25,25,10,False,False,False,False,False
repair5g551_theta_551000083,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,23,23,12,False,False,False,False,False
repair5g551_theta_551000382,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,22,22,11,False,False,False,False,False
repair5g551_theta_551000113,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,21,21,10,False,False,False,False,False
repair5g551_theta_551000114,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,19,19,9,False,False,False,False,False
repair5g551_theta_551000261,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,18,18,9,False,False,False,False,False
repair5g551_theta_551000396,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,18,18,9,False,False,False,False,False
repair5g551_theta_551000053,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,17,17,8,False,False,False,False,False
repair5g551_theta_551000079,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,14,14,7,False,False,False,False,False
repair5g551_theta_551000392,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,14,14,8,False,False,False,False,False
repair5g551_theta_551000506,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,13,13,6,False,False,False,False,False
repair5g551_theta_551000419,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,12,12,6,False,False,False,False,False
repair5g551_theta_551000096,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,10,10,5,False,False,False,False,False
repair5g551_theta_551000177,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,8,8,4,False,False,False,False,False
repair5g551_theta_551000178,checkpoint_risk_classifier_utility_ranker_abstention,checkpoint_risk_classifier_utility_ranker_abstention,7,7,3,False,False,False,False,False
